용어,출처,용례
대륙간탄도미사일,"['국방백서', '국방과학기술플러스_246호(19년도+4분기)', '국방과학기술플러스 Vol.255', '국방과학기술플러스 Vol.258']","['2월 ‘북극성-2형’을 시작으로 대륙간탄도미사일(ICBM)급 미사일까지 포함한 다종의 탄도미사일 발사와 6차 핵실험 강행 등 핵\u2006・\u2006미사일 능력 고도화에 주력하였다.', '그리고 이러한 장점으로 인해 초창기 대륙간탄도미사일이나 미국의 X-15, 머큐리, 제미니 계획 등에 적용되었다.', '급기야 북한은 2017년 9월 3일 6차 핵실험을 강행하였고, 같은 해 11월 29일에는 대륙간탄도미사일(ICBM)급 미사일을 발사한 후 ‘핵무력 완성’을 주장하였다.', '아방가르드는 러시아의 대륙간탄도미사일 탑재 극초 음속 활공체로, 최고속도 마하 27로 활공하며 별도의 추진기관이 없는 순수한 활공체이다.', '이 기술은 대륙간탄도미사일(ICBM) 개발도 가능한 수준인 것으로 평가된다.', '잠수함발사 대륙간탄도미사일을 운용하는 보레이급 신형 전략핵잠수함을 운용하기 위해 캄차카 반도에 잠수함 기지도 건설하고 있다.', '전략미사일군은 2017년 토플-M 전략핵미사일 실사격에 성공하였고, 핵전력 야루스 대륙간탄도미사일 3개 연대를 전력화하였다.', '특히 2017년 8월 ‘괌 타격계획’을 공개하고 미 본토 전역에 도달할 수 있는 장거리 미사일 개발의 일환으로 화성-15형 대륙간탄도미사일급 탄도미사일을 11월에 발사하였다.', '특히 2017년까지 전력증강 결과 전투장비의 59%를 현대화하였으며, 야루스 대륙간탄도미사일(ICBM) 연대 등 전략부대를 증\u2006・\u2006창설하여 핵 억지력을 강화하였다.', '한편 대륙간탄도미사일(ICBM), 잠수함발사탄도미사일(SLBM), 전략폭격기 등 핵전력 3축체계를 현대화하고 다층적인 미사일 방어체계 구축을 추진 중이다.', '한편 대륙간탄도미사일(ICBM), 잠수함발사탄도미사일(SLBM), 전략폭격기 등 핵전력 3축체계를 현대화하고 있으며, 다층적인 미사일 방어체계 구축을 지속 추진 중이다.']"
대포병 레이더,['2021_국방과학기술플러스_253호'],"['육군의 ISTAR3) 능력 보강, 대포병 레이더 보강, MET4)(기상) 장비 보강, 정밀타격능력 보강, C4I5) 능력 보강, 플랫폼 개선 등을 제시하고 있다.']"
대함미사일,['국방백서'],"['북한 해군이 보유하고 있는 주요 함정 및 지대함미사일은 [도표 1-6]과 같다.', '해안방어전력은 동·서해 해안을 따라 다수의 해안포와 지대함미사일을 배치하여 해상에서 접근하는 함정을 공격하고 대상륙 방어 등의 임무를 수행한다.', '해안방어전력은 동ㆍ서해 해안을 따라 다수의 해안포와 지대함미사일을 배치하여 해상에서 접근하는 함정을 공격하고 대상륙 방어 등의 임무를 수행한다.']"
대형 수송기,['국방백서'],"['Y-20 군용 대형 수송기의 연구개발도 진행하고 있으며, 신형 H-6K 장거리 전략폭격기를 전력화하는 등 공군의 현대화를 지속적으로 추진하고 있다.']"
독도함,"['국방백서', '국방과학기술플러스 Vol.258', '국방과학기술플러스_235호(2017년+1분기)']","['그리고 독도함보다 성능이 향상된 전투체계와 최신 4면 고정형 레이더(AESA)를 탑재함으로써 지휘통제함 임무수행 능력과 함정 생존성이 크게 향상되었다.', '기본형은 현재 해군 상륙함인 독도함에 탑재되어 운용되고  있으며 성능개량형은 레이더 성능을 업그레이드하여  지상용 (SMART-L MM/F) 및 함정용 (SMART-L MM/N)  다중임무 디지털레이더로 개발되었다.', '독도함에 이은 두 번째 대형 수송함인 마라도함은 2014년 12월 건조를 시작하여 약 7년만인 2021년 6월 해군에 인도되었다.', '한국해군이 운용하고 있는 함정의 전투체계는 크게 외국으로부터 도입된 전투체계와 LPH(독도함) 이후 건조되는 함정(PKG, FFG)에 탑재되는 국내개발 전투체계로 구분할 수 있다.']"
라팔,"['국방과학기술플러스_248호(20년도+2분기)', '국방과학기술플러스_235호(2017년+1분기)', '국방과학기술플러스 249호']","['또 다른 노력으로 2016년 인도는 프랑스로부터 라팔 36기를 도입하였다.', '라팔 F2/F3의 임무컴퓨터인 MPDU (Modular Data Processing Unit)는 ASAAC의 STANG 4626 규격을 적용하였다.', '라팔 전투기는 초기 개발과정에서 잠시 수동위상배열 레이다를 채택하였다가 최종모델에는 AESA 레이다로 변경하였다.']"
랴오닝호,['국방과학기술플러스 Vol.256'],['중국은 항공모함 랴오닝호에 리젠을  탑재해 미국령 괌 인근까지 감시 정찰에 나설 것으로  예상되고 있다.']
무인전투기,"['국방과학기술플러스 249호', '국방과학기술플러스 Vol.256', '국방과학기술플러스 250호', '국방백서']","['5단계 수준의 통합이 이루어졌으며 , 향후 개발되는 6세대 전투기 혹은 무인전투기는 3세대 혹은 4세대의 센서 융합이 이루어질 것이다.', ""GJ(攻擊·공지)-11' 스텔스 드론은 미국의 B-2  스피릿 폭격기, 항공모함 베이스의 장거리 무인전투기 X-47B와 비교되고 있다."", '따라서 무인전투기의 공중전 임무를 위해서는 유인조종사와 마찬가지로, 교전 상황을 인식하고 전투기의 한계 성능을 최대한 활용하여 해당 시점에 필요한 적절한 기동을 선택할 수 있는 전술 기동 제어 기법이 요구된다.', '무인전투기 개발을 위해서는 적진 근접/침투 감시정찰, 적방공망제압, 고가치 목표공격 등 초기작전 수행에 필수적인 스텔스, 고속/고기동/고성능 등의 기술이 요구된다.', '무인전투기 자율화시스템 개발을 위한 자율화 수준은 미 국방성 자율화 수준 기준으로 완전 자율화를 의미하는 4단계가 요구되고 있으나 현재 운용중인 무인기 Predator, Global Hawk의 자율화 수준이 2단계이며, 최신예 무인전투기 X-45 역시 2~3단계 수준에 머물고 있다.', '앞서 소개한 여러 제어 기법은 향후 무기체계에 실제 적용을 위해서는 추가적인 연구가 필요하지만 잠재적 효용성이 매우 높을 것으로 생각되며, 특히 최근 개발되고 있는 다양한 센서 관련 기술의 효율적인 융합을 통해 혁신적인 무인전투기 체계가 개발될 수 있을 것으로 기대된다.', '육군은 Army TIGER여단, 해군은 무인수상함·잠수정·항공기전대, 해병대는 무인상륙돌격대대, 공군은 유·무인전투기복합체계 기반 부대 등을 시범부대로 지정하였다.', '이 같은 자율 근접 공중전 알고리듬은 독자적인 무인전투기 뿐만 아니라 유인전투기를 보조하는 윙맨(Wingman) 개념 보조전투기에도 적용가능하며, 유인전투기 조종사의 판단을 보조하는 용도로도 활용 가능하다.', '이상과 같이 근접공중전 기술 개발 동향과 이를 무인전투기에 도입하는 방안에 대해 고찰해 보았다.', '자율화시스템 기술은 특히 군사용 분야에서는 기존의 정찰 및 공격형 유인기의 무인화  뿐만 아니라 지능형 군집(Swarm) 드론 무인 체계나 유·무인통합 운영 체계 및 무인전투기 등을 위해 필요한 핵심기술이다.', '적의 방공망에 근접 또는 침투하여 무력화시키는 대공제압 임무는 현재 스텔스 유인전투기, 저공침투 유인전투기 등을 활용하여 수행 중이나, 생존성 및 임무 성공률 향상을 위하여 1990년대 말부터 무인전투기에 대한 연구가 수행되고 있다.', '중앙 집중형은 무인전투기 편대와 같이 상위 계층이 하위 계층을 통제하는 데 반해, 분산형은 무인체 간에 동등한 권한을 갖고 협력하는 체계로서, 실질적인 군집무인체계라 할 수 있다.', '향후 개발이 예상되는 무인전투기의 임무가 점차 확장될 경우, 유인전투기간의 교전은 무인전투기로의 대체될 것으로 예측된다.', '현재 선진국에서는 공대공 등 다양한 임무를 수행하기 위하여 자율화 수준 3~4단계의 무인전투기 개발 기술을 연구하고 있으나 현재 기술 추세로 볼 때 2030년대 후반 또는 40년대 이후나 가능할 것으로 예상하고 있다.']"
미사일 방어체계,"['259호_국방과학기술플러스', '국방백서', '국방과학기술플러스 Vol.255', '국방과학기술플러스_248호(20년도+2분기)', '국방과학기술플러스 Vol.258']","['[그림 20] 항공기반 상승단계 탄도미사일 방어체계다.', '‘한국형 미사일 방어체계’는 우리 측으로 날아오는 미사일을 요격하는 다층방어체계로 탐지체계, 지휘통제체계, 요격체계로 구성되어 있다.', '낮은 고도에서의 극초음속 비행은 극초음속 순항미사일이 미사일 방어체계를 침투할 수 있도록 하며, 극초음속 활공체와 달리 종말 단계까지 가속할 수 있어 복잡한 기동에 더욱 유리하다.', '또한, ‘한국형 미사일 방어체계’는 탐지체계, 지휘통제체계, 요격체계로 구성되며, 우리 측으로 향해 날아오는 미사일을 조기에 탐지·요격하고 피해 최소화를 위한 경보를 전파한다.', '미사일 방어체계 Ⅱ┃ 47상승단계요격체계는 크게 탐지체계와 지휘통제체계, 요격체계로 이루어진다.', '반면 탐지센서와 요격미사일을 무인항공기에 통합하여 Sensor-to-Shooter 방식으로 항공기반 탄도미사일 방어체계가 구현되면 탐지부터 요격까지 소요되는 시간을 줄여 대응 능력을 개선할 수 있다.', '셋째, 우리 쪽으로 날아오는 미사일을 요격할 수 있는 한국형 미사일 방어체계를 발전시키고 있다.', '이를 위해 북한 전 지역에 대한 정찰감시능력 확보, 물리적·비물리적 타격능력과 복합다층 미사일 방어체계 구축, 압도적인 대량응징보복 능력확보를 추진한다.', '이를 위해 장거리 공대지 유도탄, 장거리 지대공 유도무기 등을 획득하여 킬체인(Kill Chain)과 한국형 미사일 방어체계를 조기에 구축할 것이다.', '이를 위해 차기전투기, 한국형 전투기, 공중급유기, 정찰정보수집체계, 한국형 탄도미사일 방어체계, 우주감시체계 등을 확보해 나갈 것이다.', '즉, 정지 궤도상의 위성체에 조기경보 IR 탐지장비를 탑재하여, 초기 탄도탄  발사 화염을 탐지하여 식별하고, 지상 조기경보 체계 및  조기경보 레이더에 식별된 정보를 제공하여 신속히 경보  발령을 내리게 하고, 지상 대미사일 방어체계의 신속한 대응 타격을 가능케하며, 나아가서는 탄도탄 발사점 및 탄착점을 예측하는 기능을 갖는다.', '킬체인(Kill Chain)과 한국형 미사일 방어체계(KAMD)를 구축하고, 대포병 탐지레이더를 배치하는 등 접적지역 전면전 능력을 보강하였다.', '킬체인(Kill Chain)을 통한 자위권 확보, 한국형 미사일 방어체계(KAMD) 강화, 대량응징보복(KMPR) 역량 강화 등 압도적 한국형 3축체계 능력을 확보할 것이다.', '특히 북한의 핵과 탄도미사일 위협에 대비해 킬체인(Kill Chain)과 한국형 미사일 방어체계(KAMD) 등 탐지, 식별, 결심, 타격 능력을 발전시켜 나갈 것이다.', '한국형 미사일 방어체계(KAMD)를 구축하기 위해 중·장거리 대공유도무기와 같은 대탄도탄 방어 전력을 지속적으로 확보해 나갈 것이다.', '한국형 미사일 방어체계는 한반도 전장환경을 고려하여 현재까지는 종말단계 하층방어 위주의 중첩된 미사일 방어체계를 구축하고 있다.', '한국형미사일방어는 한반도 전장환경을 고려하여 현재까지는 종말단계 하층방어 위주의 중첩된 미사일 방어체계를 구축하고 있다.', '한편 대륙간탄도미사일(ICBM), 잠수함발사탄도미사일(SLBM), 전략폭격기 등 핵전력 3축체계를 현대화하고 다층적인 미사일 방어체계 구축을 추진 중이다.', '한편 대륙간탄도미사일(ICBM), 잠수함발사탄도미사일(SLBM), 전략폭격기 등 핵전력 3축체계를 현대화하고 있으며, 다층적인 미사일 방어체계 구축을 지속 추진 중이다.', '항공기반 방어의 장점  상승단계 탄도미사일 방어를 위해 항공기에 적외선센서와 요격미사일을 장착하여 Sensor-to-Shooter 방식의 미사일 방어체계를 구성하면 상승단계 탄도미사일 방어에 여러 가지 장점이 있다.', '항공기반 상승단계 탄도미사일 방어체계 구성항공기반 상승단계 탄도미사일 방어체계는 교전시간 확보를 위해 탐지센서와 요격미사일을 장착한 Sen\xadsor-to-Shooter 방식이 되어야 한다.', '항공기반 상승단계 탄도미사일 방어체계가 개발되어 기존 중간단계/종말단계 방어에 추가되면 다층방어의 효과를 증대시킬 수 있을 것으로 기대된다.', '항공기반 상승단계 탄도미사일 방어체계는 북한과 같이 폭이 좁고 긴 지리적 특성이 있는 지역 가까이 접근하여 요격이 이루어지므로 탄도미사일 방어에 효과적인 것으로 이 연구는 결론 내고 있다.', '항공기반 탄도미사일 방어체계 구성에 필요한 무인항공기는 적외선센서와 요격미사일을 장착 가능해야 하며 그림20은 이에 따른 개념도이다.']"
박격포,"['국방백서', '국방과학기술플러스_244호(2019년+2분기)']","['81밀리 박격포-Ⅱ, 120mm 자주박격포, 중형전술차량 등의 신규 장비를 전력화함으로써 생존 및 기동성, 전투수행능력을 극대화하여 운용 병력을 절감해 나갈 것이다.', '9) 주요인수물자155밀리포병탄, 81밀리박격포탄, 105밀리전차탄, 공대지유도탄, 일반목적탄, 2.75인치로켓탄등이다.', '무기 분야에서는 개인화기, 박격포 등 동원사단의 전력 보강 소요를 파악하고 국방기획문서18)에 반영하여 전력화하고 있다.', '운용형태는 화포나 박격포, 소총, 유탄발사기에서 발사 후 일정 시간이 지나면 주날개와 꼬리 날개를 전개하는 탄도비행형 정찰포탄, 화포에서 발사 후 포탄내부의 영상송신 자탄을 방출하고 자탄은 낙하선을 전개하여 영상과 좌표를 지상중계소로 전송하는 자탄 방출형, 그리고 포탄내부에 UAV를 방출하여 UAV방출형으로 정찰포탄을 분류하고 있다.', '특히 박격포, 포병 등의 야간사격과 포병 장사거리사격을 강도 높게 실시하고 지원·배속부대와 합동전력을 포함한 전투사격을 실시하여 전투임무수행 능력을 극대화하고 있다.']"
벙커버스터,['국방과학기술플러스_248호(20년도+2분기)'],"['탄두 폭발 현상벙커버스터와 같은 지하관통 탄두를 제외한 일반적인 고폭 탄두의 폭발은 크게 공중, 지면폭발로 구분할 수 있다.']"
비살상무기,['국방과학기술플러스 Vol.258'],"['그리고 드론, 전투 차량, 통신 기지국 등 체계를  직접적으로 파괴하지 않으면서 무력화시킬 수 있는 기술이므로 비살상무기로 분류된다.']"
사드,"['국방백서', '259호_국방과학기술플러스', '261 국방과학기술플러스_최종안', '국방과학기술플러스_248호(20년도+2분기)', '국방과학기술플러스 262호']","['\x07\t 양 장관은 성주기지(Camp Carroll) 사드 포대의 안정적인 주둔여건을 마련하기 위한 대한민국의 노력을 평가하였다.', 'SM-3, GBI(Ground Based Intercepter)는 중간단계, 천궁-II, 사드(THAAD), 패트리어트(Patriot)는 종말단계 미사일 방어에 해당한다.', '무선기기가 폭증함에 따라 전자파에 대한 관심이 높아지고 이에 대한 우려로 인해서 사회적으로 과도한 비용이 발생하고 있으며, 기상청 레이다 논란, 해상관제용 레이다 논란, 사드 논란 등 전자파 영향 여부를 둘러싼 진실 공방으로 사회적 갈등이 확산되고 있다.', '시리아에서는 아사드 정권과 반군 세력 간에 내전이 지속되고 있고, 이라크에서는 이라크 정부군과 ISIL6) 간에 모술 등 북부지역을 중심으로 군사적 충돌이 지속 발생하고 있다.', '양 장관은 사드 기지에 대한 일상적이고 자유로운 접근을 정상화하기 위해 지속적으로 긴밀히 협력해 나가기로 하였다.', '이 중 현재 우리가 언론에서 흔하게 듣는 천궁2, 패트리엇이나 사드(THAAD1)) 등의 체계는 탄도탄의 종말단계 요격을 위한 것이며 SM-3, GBI2) 등의 체계는 중간단계 요격을 위한 것이다.', '주한미군 사드체계 배치 222 5.', '초고온 내열 복합소재는 위에 대표 그림에서 나타나 있는 것과 같이 사드(THADD)와 유사한 유도탄 방어무기체계(SM-3)에 필수 핵심부품 소재이다.']"
상륙돌격장갑차,"['국방백서', '259호_국방과학기술플러스']","['둘째,해군은차기호위함, 차기고속정, 차기상륙함, 상륙돌격장갑차를노후대체전력으로확보하며, 대형수송함과소해함6) 추가확보사업을추진한다.', '해병대의 경우도 그와 유사하게 공수강하시뮬레이터, 상륙돌격장갑차 KAAV 시뮬레이터, 합동화력 시뮬레이터, KUH-1 시뮬레이터 등과 같은 다양한 시뮬레이터를 보유하고 있으나 이것들은 개별 체계의 숙달 훈련 위주로 활용되고 있다.']"
세종대왕함,['국방과학기술플러스_235호(2017년+1분기)'],"['한국 해군은 현재까지 미해군과 계약을 통해 DDH-Ⅱ급 5척(충무공 이순신함(’04/’06), 문무대왕함(’08), 최영함(’12), 왕건함(‘14), 강감찬(’16)), DDG 구축함 3척(세종대왕함(’10), 율곡 이이함(’12), 서애 류성룡함(’14))의 CSSQT을 실시한 바 있다.']"
수리온,['국방과학기술플러스 250호'],"['국내에는 수리온과 소형 무장헬기 등의 개발 경험을 통해 헬기 내 임무장비들을 운용 및 제어하는 OFP 기술은 획득되었다고 볼 수 있으나, 유인헬기와 무인기간의 상호 운용을 위한 OFP 설계 기술은 확보되지 않았다.', '탑재장비 기술  국내에서는 사단급 무인기, 차군 무인기 및 중고도 무인기 등의 개발을 통해서 무인기와 지상통제장치간의 데이터 링크 시스템은 개발된 바는 있으나, 수리온 등과 같은 유인 헬기에 탑재할 수 있을 수준의 소형/경량화 된 데이터링크 시스템은 개발된 바가 없다.']"
스커드미사일,['국방백서'],['그러나 한편으로 스커드미사일과 신형방사포 등을 장소를 바꾸어가면서 기습발사하며 무력시위를 하였다.']
신궁,['국방과학기술플러스 249호'],"['또한 기존 도입 열전지를 적용하던 휴대용 대공유도무기(신궁), 단거리 지대공 유도무기(천마) 등에도 국산 열전지를 대체하여 적용하고 있다.']"
아파치,"['국방과학기술플러스 250호', '국방과학기술플러스_235호(2017년+1분기)', '국방백서', '국방과학기술플러스_237호(2017년+3분기)']","['2006년에는 아파치 헬기에서 고정익 무인기 Hunter를 조종하는 장비를 개발하였고, 2007년부터는 UH-60 블랙호크에 상호운용 LOI 2급 장비인 VUIT29)를 탑재하여 무인기로부터 비디오 영상을 직접 수신하도록 하여 상황인식 능력을 개선하였다.', '2009년에는 아파치 헬기에서 보잉 H-6 리틀버드(Little Bird) 다목적 무인 헬기를 조종하는 시연비행을 수행한 바 있다.', '2011년에는 아파치 헬기, OH-58D 카이오와(Kiowa) 공격정찰 헬기와 RQ-11 Raven, RQ-20 Puma, MQ-5 Hunter, RQ-7 Shadow 및 MQ-1C Gray Eagle등의 고정익 무인기간의 유무인 협업(MUM-T) 작전능력을 수행하는 시범비행을 한 바 있다.', '3) Matei Zaharia, Databricks하둡의 정체/부진과는 다르게 Databricks사가 개발한 아파치 스파크의 지속적 성장이 예측된다.', '48 | 제3장 포괄안보를 구현하는 국방태세 확립AH-64 (아파치) 공격헬기ATACMS (Army Tactical Missile System) 육군 전술유도탄 체계12.', 'AH-64E 아파치 헬기에 장착된 UTA는 TCDL을 장착한 무인항공시스템(UAS, Unmanned Aerial System)과도 호환 가능하다.', '미군은 2014년 아프카니스탄에서 무인기(MQ-1C, Grey Eagle)에 장착된 감지기로 부터 지능정보를 획득 후 아파치(AH-64E)에서 무인기에 장착된 미사일(Hellfire)로 공격까지 실시간 연동을 성공적으로 수행하였다.', '아파치(AH-64E)에 적용된 유무인 협업사례유무인 협업은 미국 DARPA에서 98년 기초연구인 SEC(Software Enabled Control) 프로그램을 시작으로 현재 MUM-TX가 개발진행중에 있으며, AH-64E에 적용하여 실전 배치되고 있다.', '아파치의 유무인 협업 개발진행과정은 다음과 같다.', '우리 군은 지상전력 면에서 K2 전차, K9 자주포, 천무 등 세계 최고 수준의 전차와 화포를 전력화하고 다수의 아파치 공격헬기를 보유하고 있다.', '주요전력은에이브라함전차,17) 브래들리장갑차,18) 155미리자주곡사포,다련장로켓과패트리어트19)를포함한지대공유도탄, 아파치헬기,20) F-16전투기, 대전차공격기등이다.']"
알레이버크급 구축함,['국방과학기술플러스 Vol.256'],"['55m, 무게는 50kg, GPS/INS 유도항법 기능을 갖고  있어, CEP 20m의 정확도 사격이 가능한 것으로 알려졌고, 알레이버크급 구축함에서 발사하여 최대 110km 떨어진 지상표적 타격이 가능한 것으로 알려졌다.']"
