용어,내용
K200 한국형 보병전투장갑차,대한민국에서 독자적으로 개발한 국산 1호 장갑차이다. 1984년부터 실전에 배치되었으며 K-21과 함께 우리 군의 주력 장갑차로 운용되고 있다. K-21이 전방 기계화보병사단에 배치된 후에도 후방 부대나 보병사단용으로 계속 운용되고 있다. K200 전차를 기본 모델로한 다양한 개량형 장갑차가 개발되어 다방면에서 활용되고 있다.  2000년부터 점진적으로 K...
LVTP-7 상륙장갑차,"병력 수송용으로 개발된 LVTP-7 상륙장갑차는 1972년 미 해병대에 배치되었다. LVTP-7 상륙장갑차는 이전의 상륙장갑차들과 달리 워터제트 추진기를 장착해 해상에서의 속도가 빨라졌다. 또한 육상과 해상에서 제자리 360도 회전이가능했고, 차체를 특수 알루미늄으로 제작하여 방호력은 증대되었고 중량은 가벼워졌다. 우리 해병대는 1974년부터 LVTP-7 ..."
M107 175mm 자주평사포,미국에서 개발한 175mm 자주평사포이다. 미군이 도입한 자주평사포 중 가장 크다. 베트남전쟁 당시 장거리 포격을 통해 북베트남 군의 지휘소와 통신시설 및 보급기지 등을 효과적으로 타격하였다. 대한민국 육군은 1971년 미국으로부터 도입해 장거리 표적 타격 및 군단 화력 지원용으로 사용하였다. 장비 노후로 인해 2004년 퇴역하였다....
M56 스콜피온 자주포,미국에서 생산한 경량 자주포이다. 1953년부터 1959년까지 생산되었다. 차체에 얇은 두께의 전방 방탄판만 부착하고 T54 90mm 포를 탑재하였다. 무게가 가벼워 수송기나 헬기로 운송 및 공중 투하가 가능하였다. 베트남전쟁 당시 미군 공수부대와 함께 투입되어 보병의 지원화포로 주로 사용되었다. 대한민국 육군은 1960년대에 미국으로부터 60여 대를 인수...
M59 155mm 평사포,"미국에서 개발된 155mm 평사포이다. 1942년 처음으로 실전에 배치되었다. 제2차 세계대전 중, M1A1과 M2로 개량되었다. 종전 후 미군은 M2 155mm 곡사포에 M59란 제식 명칭을 새로이 부여하였다. 흔히 ‘롱 톰’ 이란 별칭으로 알려졌다. 6·25전쟁 당시 포병사격 및 장거리 화력지원과 진지 및 구조물 파괴에 사용되었다. 대한민국 육군은 19..."
M167A1 벌컨 대공포,"1960년대 중반부터 미 육군과 공군에서 사용된 M167 발칸대공포는 공군 기지와 헬기 기지를 방어하기 위해 개발된 저고도 대공무기체계이다. M167 발칸대공포에 사용된 20mm M61 발칸포는 전투기의 기총으로 개발되었으며, 6개의 포열이 고속으로 회전하면서 짧은 시간에 최대 수천 발의 기관포탄을 발사한다. 무게가 가벼워 헬기를 통한 공중 수송이 가능하고..."
T8 90mm 대전차포,"제2차 세계대전 당시 미군이 독일군 전차를 파괴하기 위해 개발한 대전차포이다. T8은 방탄판과 충격흡수장치를 포함한 포가에 대전차 공격용으로 개발한 90mm 포신을 결합해 만든 것이다. 1944년에 3문이 최초로 제작되어 그 중 1문이 아르덴 전역에서 성능시험을 위해 투입되었다. 1945년 6월까지 200문이 생산되었으나, 실전에 배치되지는 않았다...."
M115 8인치 견인곡사포,"미국이 개발한 견인곡사포이다. 적의 방어선과 콘크리트 요새를 파괴하기 위해 개발되었다. 제2차 세계대전 당시 미 육군의 포병무기 중 가장 긴 사거리를 자랑한다. 초기에는 ‘M1 8인치 곡사포’로 불렸지만 1962년 미 육군의 제식 명칭 표기 변경에 따라 지금의 이름을 갖게 되었다. 6·25전쟁 당시 적 후방 지휘소, 병력집결지, 병참기지 등을 타격할 때 사..."
T66 4.5인치 다연장로켓발사기,미국에서 개발한 다연장로켓발사기이다. 24개의 발사관으로 이루어져 있으며 M16 4.5인치 로켓을 발사 할 수 있다. M16 4.5인치 로켓은 약 5km를 사격할 수 있는 고체연료용 무유도 로켓이다. 제2차 세계대전 말기 미 육군과 해병대에서 주로 사용하였다. 육군은 유럽 전선에서 일부 운용하였고 해병대는 태평양 전선의 필리핀과 오키나와에서 사용하였다. 6...
M110 8인치 자주곡사포,미국이 개발한 자주곡사포이다. 1963년부터 미 육군과 해병대에서 운용하였고 차체에 8인치 곡사포신을 탑재하였다. 베트남전쟁과 냉전 시기에 주한미군의 전술 핵 투발 수단으로 활용되었다. 우리 군은 1966년 미군으로부터 1개 대대 분량을 인수하여 운용하였다. 1971년 추가로 도입해 전방 부대를 중심으로 배치하였다. 2008년 국산 K9 자주포가 개발됨에 ...
XK-9 한국형 자주포 시제품,"대한민국에서 개발한 155mm 자주포이다. 순수 국내 기술로 개발하였다. 자동화된 사격통제장치, 자동화된 포탄 이송 및 장전 장치 등을 갖추고 있다. 30초 이내 초탄 발사, 분당 최대 6발 발사가 가능하다. 기존의 K55 자주포 대비 3배 이상 강력한 화력을 가졌다. 기동성, 화력, 생존성 면에서 모두 뛰어난 최정상급 자주포이다. 터키, 노르웨이 등 여러..."
59식 전차,"중국이 소련의 T-54A 전차를 모방하여 생산했던 전차이다. 수랭식 엔진과 대공 기관총을 장착하였고 궤도 폭을 넓혀 습지나 사막에서 기동성을 향상시켰다. 1980년까지 9,500여 대가 생산되어 중국과 제3세계 여러 국가에서 운용되고 있다. 전시된 전차는 베트남전쟁 당시 주월한국군사령부가 북베트남군으로부터 노획한 것이다...."
K1 한국형 전차 시제품,"대한민국에서 개발한 주력 전차이다. 1970년대 후반, 국내 기술로 개발하였으며 1987년부터 육군에 배치되었다. 특수 장갑을 사용해 방호력을 높였고 열영상장비·레이저 거리측정기가 결합된 사격 통제 장치를 달아 주야간 명중률을 향상시켰다. 포신의 상하 조정, 차체의 전후 높낮이 조절이 가능하여 산악 지역에 적합하다. K1A1(120mm 활강포 장착 개량형)..."
63식 수륙양용 경전차,"중국에서 개발한 수륙양용 경전차이다. 소련의 PT-76 전차를 바탕으로 주포를 85mm로 강화하여 개발되었다. 워터제트 추진기를 장착해 하천 도하 및 상륙작전에 주로 사용되었다. 공산권 국가 및 제3세계 국가에 수출되었으며, 베트남전쟁에서 북베트남군이 운용하였다. 63식 전차는 여러 개량을 거쳐 현재까지도 중국군에서 운용하고 있다. 전시된 전차는 베트남전쟁..."
M47 패튼 전차,미국에서 기존의 M46 패튼 전차를 개량해 만든 두 번째 패튼 전차이다. 별칭인 ‘패튼(Patton)’은 제2차세계대전 당시 활약한 조지 S. 패튼 장군의 이름에서 따온 것이다. 장갑에 경사를 주어 방호능력을 향상시켰고 입체식 거리측정기를 장착하여 명중률을 높였다. 1952년 5대의 시제 전차가 대한민국에서 최초로 운용시험을 거쳤다. 1959년 460여 대...
M48A5KW 패튼 전차,미국에서 개발한 패튼 전차 시리즈인 M48계열 전차 중 하나이다. M48A5는 화력증가를 위해 기존의 90mm 주포를 105mm로 개량한 것이다. 대한민국은 1978년부터 M48A5 기종을 운용하였으며 이 중 M48A5KW는 미군의 전시 비축물자(WRS)를 직접 구매한 한 기종이다. K1A1 및 K2 전차와 함께 대한민국 육군의 주력 전차로 운용되고 있다....
M48A2C 패튼 전차,"미국에서 개발한 패튼 전차 시리즈인 M48 계열 전차 중 하나이다. M48A2는 기존 M48A1의 엔진과 변속기를 개량한 것이고, 이 중 M48A2C는 추가로 거리 측정기를 개선한 전차이다. 대한민국은 1971년 이후 약 195대를 인수해 육군 기갑여단에 배치하여 운용하였다. 일부 차량이 105mm 주포를 탑재한 M48A5K1/K2로 개수되었으며 나머지는 ..."
SP-10 반잠수정,전시 중인 반잠수정은 1983년 12월 3일 북한의 부산 다대포 침투 당시 우리 해군이 격침시킨 반잠수정이다. 반잠수정은 ‘잠수함’과 ‘고속정’을 결합한 장비이다. 수중으로 잠행해 운행하는 잠수함의 특성과 제트 추진으로 수면 위를 미끄러지듯 질주하는 고속정의 특성을 모두 가지고 있다. 우리 해군은 이 외에도 1985년 10월에 부산 청사포 해안과 1998년...
에어보트,"미국에서 제작되어 1964년부터 실전에 배치된 하천 및 늪지대 작전용 보트이다. 원래는 미국 플로리다 늪지대를 이동하는 수단으로 개발되었으나, 배 밑이 평평하여 기동이 용이하고 속도가 빨라 군 작전용으로 활용되었다. 특히 베트남전쟁 당시 늪지대 이동 및 전투에서 크게 활약하였다. 우리 군에서는 베트남전쟁에 파병되었던 청룡부대가 처음 도입해 운용하였다. 이후..."
참수리급 고속정,"참수리급 고속정은 연안 경비와 북한의 해상침투를 막기 위해 대한민국 해군이 건조, 배치·운용한 함정이다. 탁월한 기동력과 화력으로 1970년대부터 빈번했던 북한의 해상도발을 억제했고, 특히 제1연평해전(1999)과 제2연평해전(2002), 대청해전(2009) 등에서 우리 해군의 승리를 이끌었다. 현재는 윤영하급 유도탄고속함(2008)으로 대체되었다.
제2연..."
M4A3E8 셔먼 전차,"미국에서 개발한 개량형 전차이다. M4 셔먼 전차에 76mm M1A1 전차포를 장착하였다. 별칭인 ‘셔먼(Sherman)’은 미국 남북전쟁 당시 활약한 셔먼 장군을 기리기 위해 붙여졌다. 대한민국은 6·25전쟁 시기인 1951년, 미군으로부터 셔먼 전차를 도입하여 육군 및 해병대의 주력 기갑장비로 운용하였다. 이후 심한 노후로 인해 1970년대 초반부터 M..."
M110 8인치 자주곡사포,미국이 개발한 자주곡사포이다. 1963년부터 미 육군과 해병대에서 운용하였고 차체에 8인치 곡사포신을 탑재하였다. 베트남전쟁과 냉전 시기에 주한미군의 전술 핵 투발 수단으로 활용되었다. 우리 군은 1966년 미군으로부터 1개 대대 분량을 인수하여 운용하였다. 1971년 추가로 도입해 전방 부대를 중심으로 배치하였다. 2008년 국산 K9 자주포가 개발됨에 ...
쌍안경(2010년 기증),"공군 조종사가 사용했던 금속제 쌍안경이다. 오늘날 조종사들은 자동항법 장치에 의해 관측, 식별하지만 예전에는 공격목표를 식별할 때 쌍안경을 사용했다고 한다."
세열수류탄,"세열수류탄은 손으로 던져 폭발시킴으로써 적을 살상하는 소형 폭탄으로 근접 전투에 사용된다. 1980 ~ 90년대 국군이 사용한 수류탄의 일종으로 형태는 원형이고 탄체 표면은 평탄하며, 얇은 강철재로 되어있다...."
탄창 PPSH-41,구경 7.62mm 슈파긴 기관단총 PPSH-41 탄창이다. PPSH-41은 Pistolet-Pulemyot Shpagina obr 1941G의 약자로 탄창의 모습이 특이하여 쉽게 식별된다....
총열덮개(탄피),국방부 유해발굴감식단에서 유해와 함께 발굴된 유품으로 경상남도 함안군 파수재에서 발굴되었다. 둥근 기둥모양의 총열덮개(탄피)로 녹이 많이 슬어있다.
야전삽,국방부 유해발굴감식단에서 유해와 함께 발굴된 유품이다. 야전삽 손잡이의 나무 부분이 잘려 나간 상태이다.
탄창,국방부 유해발굴감식단에서 유해와 함께 발굴된 유품이다. 탄창은 소총 ·권총 ·기관총 등의 탄약을 미리 넣어 두었다가 차례로 약실에 송탄할 수 있게 만든 탄약 용기이다.
기관총 개머리판,국방부 유해발굴감식단에서 유해와 함께 발굴된 유품이다. 개머리판은 총의 아랫부분으로 사격할 때 어깨에 받치는 데 사용된다. 금속으로 만들어진 개머리판으로 일부 부서진 상태이고 녹이 많이 슬어있다....
포탄 탄두(PDF-M52A1),"국방부 유해발굴감식단에서 유해와 함께 발굴된 유품이다. 길이는 6cm, 지름은 5cm이며 탄두만 있는 상태이다."
모신나강 소총(1),모신나강 1891 소총은 19세기말 제정러시아에서 개발한 소총으로 블라디보스톡 지역에서 체코군단을 통해 입수하여 주요 독립전쟁 시 우리 독립군의 주력 소총으로 사용되었다.
6·25전쟁 국군 장비 배낭,"6·25전쟁 당시 국군이 사용한 대부분의 장비와 물자는 미군이 지원한 것이었다. 배낭, 구급대, 탄띠 등 모두 미군에서 제작되어 전쟁 중 국군이 사용한 것이다."
M1942(ZiS-3) 76.2mm 평사포,"소련이 주력으로 사용하던 76.2mm 평사포 M1939(F-22 USV)를 대체하기 위해 개발하였다. 제2차 세계대전 중 5만여 문 이상이 생산된 화포이며, 대전차포, SU-76 등에 널리 활용되었다. 6·25전쟁 당시 북한군이 주력으로 운용하였으며 이후 참전한 중국군도 다수 운용한 위협적인 무기였다.
..."
M-72 모터사이클,1942년부터 소련에서 대량 생산되어 주로 사이드카를 장착한 형태로 운용되었다. 6·25전쟁 개전 초 북한군의 고속기동부대인 제603 모터사이클 연대가 서울 지역에 배치된 국군의 퇴로를 차단하기 위해 홍천 지역을 집중적으로 공격해왔다. 그러나 홍천 지역의 방어를 담당한 국군 제6사단이 북한군의 공격을 저지하여 한강방어선을 형성할 수 있는 중요한 계기를 마련...
M1A1 75mm 경곡사포,1927년 미국에서 개발한 경곡사포다. 제1차 세계대전 이후 미 육군은 전선 최전방에서 사용될 작고 경량화된 무기 개발에 관심을 기울였다. 이에 따라 1920년부터 75mm 조립식 곡사포 M1의 개발이 시작되어 1927년 8월 표준화되었다. 주로 산악과 밀림 지형 등 평사포가 운용되기 어려운 지형에서 널리 활용되었으나 그리 오래가지는 못하였다. 본래 명칭은...
M1943(PM-43) 120mm 박격포,1938년 소련에서 개발되어 제2차 세계대전 당시 강력한 위력을 보인 박격포다. 오늘날 세계 각국의 군대에서 사용 중인 120mm 박격포의 원형으로 불릴 만큼 성능이 우수했다. 6·25전쟁 당시 북한군이 보유한 이 박격포는 화력이 뛰어날 뿐만 아니라 바퀴가 장착된 운반대가 있어 차량이나 장갑차로 쉽게 이동시킬 수 있어 국군에 위협적인 무기였다....
M1939(52-K) 85mm 대공포,"1939년 소련이 76.2mm 대공포 M1938을 개량하여 사거리와 위력을 높인 대공포로, 제2차 세계대전과 6·25전쟁에 사용되었다. 6·25전쟁 개전 당시 북한군은 85mm 대공포 M1939를 12문 보유하고 있었는데 미 공군의 폭격을 막아내기에는 역부족이었다. 1945년 이후 공산권 국가에서 많이 사용되었으며, 특히 베트남전쟁에서 미 공군에 대항하는 ..."
M1939(61-K) 37mm 대공포,"1939년 소련에서 개발된 대공포로, 제2차 세계대전과 6·25전쟁에 사용되었다. 6·25전쟁 초기 북한군 전력은 지상에서는 국군을 앞섰지만, 미 공군 폭격기에 의해 평양 시내와 철교가 공격당하는 등 공중 방어에는 약점을 보였다. 이에 북한군은 1951년까지 4개 독립 대공포 연대를 신설, 37mm 대공포 M1939를 추가 운용하여 대공방어능력을 강화하였다..."
M-16 1호,"미국으로부터 생산 자격을 취득해 면허 생산한 M16 1호 소총이다. 베트남전쟁 참전 이후 국군의 주력 소총이 되었으나 1985년 국내기술로 제작한 K2소총으로 대체되면서 향토예비군의 주력 무기로 변경되었다.
..."
FN 브라우닝 M1910 자동권총,"FN사에서 1910년에 개발한 이 권총은 유럽 지역에서 주로 인기를 끌었다. 1차 세계대전의 도화선이 된 ‘사라예보 사건’ 당시 오스트리아 황태자 부부 저격에 사용된 총으로 알려져 있다.
..."
Colt M1911 자동권총,"콜트 M1911은 1911년 3월에 미군의 제식 권총으로 정식 채택되어, 브라우닝이 설계한 자동권총 중 최초로 군용으로 대 성공을 거둔 권총이다. M1911은 제 1차 세계대전에서 첫 실전을 통해 성능의 우수성을 입증하였다.
..."
Colt M1911A1 자동권총,"콜트 M1911A1은 2차 세계대전의 미국의 참전과 함께 실전에 처음 투입되었으며, 전쟁 기간 동안 약 270만정이 생산되어 연합군 자동권총의 상징이 되었다. 전쟁 기간 본가라 할 수 있는 콜트사의 생산 수량은 약 400,000정에 달하였다.
..."
Colt M1911A1 자동권총(Remington Rand),"레밍턴 랜드는 미국에서 사무기기를 생산하는 업체로, 주로 타자기를 제조하였으나, 2차 세계대전이 발발함에 따라 900,000정의 M1911A1을 분담 생산하였다."
Colt MkⅣSeries’70 자동권총,"콜트 Mark.4 시리즈‘70은 1970년부터 출시된 기종으로, Colt사의 민간용 M1911계열 중 가장 고급스러운 표면 처리와 정밀한 부품 및 총열을 사용하여 큰 인기를 얻었다. 특히, Series’70 Gold-cup National Match라 불리는 모델은 부속의 정밀성과 명중률이 높아 사격 경기용 권총으로 애용되었다.
..."
Colt Commercial model 자동권총(1950~1970),"콜트 커머셜 모델은 2차 세계대전 종전 후 1950년부터 생산이 시작된 민간 판매용 제품이다. 표면처리와 각인, 손잡이 등을 더욱 미려하게 제작하여 군용과 차별성을 두어, 민간의 인기를 끌었다...."
구경45권총 M1911A1(부산진),"1911년부터 1984년까지 미군의 제식 부무장으로 채택되어 사용한, .45in 구경의 탄환을 사용하는 반자동 권총이다. 대한민국은 해방 이후 미 군정 통치 기간동안 국방경비대와 치안대 등이 미군으로부터 M1911/M1911A1 권총을 일부 지급받기 시작하였으나, 6·25 전쟁 발발과 함께 대량 공여받아 한국군의 제식 부무장으로 사용되었다.
..."
대승자 총통,개인이 휴대할 수 있도록 만들어진 승자총통 가운데서 가장 큰 형태의 총통이다. 조선 1572년(선조 12) 김지가 개발한 것으로 휴대가 편하여 육상전에서 위력을 발휘하였다.
화약통,"화약을 담아 쓰는 통으로 여러 가지 형태가 있으며, 휴대와 보관이 쉽게 만들어졌다. 거북머리 형태의 뚜껑은 일종의 계량컵의 역할을 하는데 1발을 쏘는 화약의 양을 가늠할 수 있게 제작되었다.
..."
승자총통,"조선 선조 때 만들어 사용하던 소화기이다. 총구에서 화약과 실탄을 장전하고 손으로 약선에 불씨를 점화, 발사하는 유통식(有筒式) 화기이다. 1575년(선조 8)부터 1578년까지 전라좌수사와 경상병사를 지낸 김지가 만든 화기로서 1583년 니탕개의 난 때 큰 몫을 하였다. 그러나 그 뒤 임진왜란 때는 왜군의 조총 때문에 그 위력을 잃었다...."
M1 개런드 소총,광복 직후 국방경비대 시절 군의 주요 무기는 일제가 남기고 간 38식·99식 볼트액션식 소총이었다. 국군이 M1 소총을 장비하게 된 것은 국방 경비대 사관생도 훈련용으로 지급되면서부터다. 그 후 경비애 예하 부대에도 일부 보급되었다. 창군 이후인 1949년 주한미군은 철수하면서 무기 및 장비를 국군에 인계하였다. 이때부터 M1 소총이 육군의 보병용 편제화기...
구경 20 M1919A4 경기관총(LMG),"미국이 제1차 세계대전 종료 후에 수랭식 기관총 M1917의 기본성능을 유지하면서 냉각방식을 개선하고, 기동성을 향상시켜 개량한 화기이다. 미군은 제2차 세계대전 시 이 기관총을 BAR와 같이 장비하여 연합군의 화력을 증대시켰다. 국군이 장비하기 시작한 것은 1949년 주한미군이 철수함에 따라 인수받으면서부터다. 이 화기는 주요 전투부대 편제화기로 배치되어..."
M1 81mm 박격포,"M1 81mm 박격포는 1949년 미군이 철수할 때 284문을 인수하여 사용하기 시작하였다. 이후 6·25전쟁 중에 2,010문이 보급되었다. 1966년 베트남 파병 당시에는 미국으로부터 M1 개량형인 M29A1 81mm의 신형 장비를 지원받아 사용하였다. 1970년대 무기체계의 국산화가 추진됨에 따라 국방과학연구소가 개발한 KM29A1이 1975년부터 야..."
K3 기관총,"K시리즈는 한국 보병의 기본화기이자 자주국방을 상징한다. 1974년부터 약 60만 정의 M16A1 한국형(콜트 603K 모델)이 국내에서 면허 생산되기 시작했다. M16의 면허 생산이 끝나가자, 국군은 국산 소총을 개발하여 K1A 기관단총과 K2 소총을 주 무장으로 채택하였다. K3 기관총은 K2 소총과 같은 5.56mm 총탄을 사용하는 경기관총으로 분대별..."
스프링필드 모델 1861 강선식 머스켓총,구한말 관군에 의해 수입되어 사용된 뇌관식 총으로 이후 의병들도 이를 노획하거나 모방 제조하여 사용하였다.
마우저 C96 권총,독일 마우저사에서 개발한 반자동 권총으로 의병과 독립군의 주력 권총으로 사용되었으며 봉오동전투와 청산리전투 등에서 홍범도 장군이 사용한 권총이다.
베르단 소총,아관파천 이후 군비증강을 위해 러시아에서 도입되었으며 대한제국군의 주력 소총으로 사용되었다.
구경50 개틀링 기관총,구경50 개틀링 기관총은 1860년대 미국인 리처드 개틀링(Richard J. Gatling)이 제작하여 남북 젼쟁 당시 사용한 기관총으로 여러 개의 총신을 묶어 연달아 발사가 가능하게 했다. 일본군이 동학농민군을 제압할 당시 사용했던 것으로 전해지며 높은 살상력으로 농민군은 막대한 패배를 입었다....
2.36인치 로켓발사기,"전쟁 초기 오산전투에서 미군이 처음 북한군 탱크를 상대로 사용했으나 화력이 약해 T-34탱크를 저지할 수 없었다,"
크레모아 M57격발기,"국방부 육군 건설단으로부터 이관받은 유물로 크레모아 M57 격발기이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴되었다."
대인지뢰 M14,"국방부 육군 건설단으로부터 이관받은 유물로 대인지뢰 M14이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴한 것으로 대인지뢰 M14이다. 접촉지점에 상해(발목 지뢰)를 입히며, 9 ~ 16kg의 압력을 가하면 폭발한다.
..."
대인지뢰 M16A1,"국방부 육군 건설단으로부터 이관받은 유물로 대인지뢰 M16A1이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴한 것으로 대인지뢰 M16A1이다. 도약식 공중 폭발(0.6 ~ 2.4m)을 일으키며, 몸통은 철재(파열체는 주철)로 이루어져 있다.
..."
대전차지뢰 M19,"국방부 육군 건설단으로부터 이관받은 유물로 대전차지뢰 M19이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴한 것으로 대전차지뢰 M19이다. 159kg ~ 227kg의 압력을 휴즈에 가하면 폭발을 일으킨다...."
60MM 박격포 고폭탄,"국방부 육군 건설단으로부터 이관받은 유물로 60MM 박격포 고폭탄이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴한 것으로 사용장비는 60mm 박격포이다.
..."
M1소총 대검 M5,"국방부 육군 건설단으로부터 이관받은 유물로 M1소총 대검 M5이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴한 것으로 평상시 탄띠 좌측 고리에 부착하며, 이동간 흔들림을 방지하기 위해서 대검집 하단에 구멍이 있으며, 그곳에 끈을 달아 다리에 묶어 사용한다...."
대전차지뢰 M15,"국방부 육군 건설단으로부터 이관받은 유물로 대전차지뢰 M15이다. 2001년 7월, 경의선 복구사업단이 경의선 복원공사를 하던 중 현장에서 발굴한 것으로 대전차지뢰 M15이다. 136kg ~181kg 압력을 휴즈에 가하면 폭발을 일으킨다.
..."
환두대도,"자루 끝의 형태가 둥근 고리(環形)로 되어 있고, 고리 안에 아무 장식이 없는 민고리인 소환두(素環頭)이다. 검신은 곧은 형태이나 약간 휘어진 것일 수도 있어 직도(直刀)의 여부는 불확실하다. 고리는 타원형이며, 검신과 손잡이 그리고 고리가 한몸을 이루고 있다. 전체적으로 부식이 심하여 검신과 손잡이부분의 목재질은 거의 사라졌고, 검신의 단면 형태를 알아보..."
삼인도,동양에서는 천(天)에 대한 사상이 강했던 관계로 왕이 하늘의 아들인 천자로 표현되었다. 따라서 하늘의 아들에게 거역하는 자를 징벌한다는 의미 때문에 형벌을 의미하는 부월(斧鉞)을 정벌군 장수에게 줌으로써 장수의 권위를 확인시켜 주었다. 이에 수면문(獸面文)이나 성좌(星座) 등이 부월에 표현되었다. 왕으로부터 병권을 상징하는 부월을 받은 장수는 자신의 권위를...
철모: 투겁창,"자루의 끝에 찌르는 양날의 날끝을 붙여, 자루를 양손에 쥐고 그 끝으로 적을 향해 찔렀다. 창은 신석기시대의 돌창(石槍)처럼 매우 이른 시기부터 나타나는 무기인데, 만들기 쉽고 던진다든가 손에 쥐고 적을 공격하는데 편리하였을 뿐만 아니라 자기 방어에도 중요한 역할을 하였으므로 근거리 접전에서 기본 무기로 오랫동안 쓰였다. 
중국의 경우 철모(鐵矛)는 보병용..."
철 창,"창의 착병부(着柄部)에 창자루를 끼우는 것이 아니라 신부(身部; 날부분)에 슴베가 달려 있어 자루에 꽂게된 철창(鐵槍)에 해당한다. 남아 있는 슴베부분이 원형과 크게 다르지 않다면, 신부와 슴베부분의 비율은 약 2:1로써 철모의 경우에 비추어보아 찌르는 기능 외에도 벨 수도 있는 무기였다고 보인다. 이러한 철창은 보고 사례가 드물다는 점에서 주목을 요하는 ..."
비파형동검,"검신 폭이 비교적 넓고, 검신 양쪽 날에 돌기가 튀어나와있다. 청동기시대의 대표적 무기인 비파형동검은 후기로 갈수록 폭이 좁아지거나 돌기부가 없어지게 되는데, 이것은 비교적 이른 시기의 것을 복제한 것이다. 비파형동검의 자루는 한글의 ㅗ자 모양으로 되었고 손잡이의 윗부분은 나팔모양으로 여기에 검신의 슴베(;뿌리부분)를 꽂게 되어있다...."
신기전기 화차,신기전 화차는 조선시대 사용된 신기전 발사무기이다. 1451년(문종 1) 문종에 의하여 처음 제작되었다. 문종 때 화차는 신기전기와 총통기 중 하나를 화차의 수레 위에 올려놓고 사용하였다. 현재 세계에서 제작설계도가 남아 있는 로켓병기 중에서는 가장 오래된 것이다. 발사 때에는 신기전기가 실려 있는 화차 수레의 발사각도를 조절한 뒤 각 줄의 신기전 약통에 ...
비격진천뢰,"선조 때 이장손이 만든 포탄이다. 임진왜란 때 경주부윤 박의장이 이를 사용하여 경주성을 탈환하였으며, 해군의 함포에도 이용되어 많은 일본의 함선을 부수었다."
러일전쟁 화약통,"러일전쟁이 벌어진 1904년과 1905년에 걸쳐 사용된 것으로 추정되는 화약통이다. 만력년제 한국화통 명치 37, 38년(萬曆年製 韓國火銃 明治三十七八年)이라는 글씨가 적혀있다.
..."
F-86F 세이버 전투기,"F-86 세이버는 미국 노스 아메리칸(North American) 사에서 제작한 미 공군 최초의 후퇴익(Swep tWings) 제트 전투기로서 1949년부터 실전배치가 시작되었다. F-86은 7,800여 대가 생산되었는데 A/E/F/H 모델은 전폭기, D/K/L 모델은 전천후 요격기로 제작되었다. 6·25전쟁 당시 ‘쌕쌕이’로 불리우던 F-86 세이버는 A..."
F-51D 무스탕 전투기,F-51D 무스탕은 미국 노스 아메리칸사가 제 2차 세계대전 당시 개발한 장거리 단발 터보프롭 전투기로 1942년부터 실전 배치가 시작되었다. 최초에는 미 육군 항공대의 식별체계에 따라 P-51D이라고 불렸지만 공군 창설 이후 F-51D로 재분류되었다. F-51D 무스탕은 2차대전 기간 동안 5천 여 대에 가까운 적기를 격추시키면서 명성을 드날리던 전투기였...
U-6A(L-20) 비버 다목적 항공기,"U-6A는 캐나다 드 하빌렌드(De Havilland) 사에서 DHC-2라는 이름으로 개발한 단발 터보프롭 소형다목적 항공기로, 미국은 1951년부터 L-20라는 제식명으로 약 1천 대를 도입했다. L-20은 6·25전쟁과 베트남전쟁에서 업무연락 및
병력수송 등의 임무에 많이 쓰였다. 이후 L-20은 1961년 U-6A/B로 재명명되었다. U-6A는 뛰어난..."
AN-2 콜트 수송기,"An-2는 구 소련의 안토노프 설계국에서 1940년대에 설계 제작한 단발 복엽기로, 원래는 범용수송과 농약살포를 위해 만들어진 농업용 항공기였다. An-2는 소련에서 생산되다가 1960년 이후에는 폴란드에서 12,000여 대를 면허 생산
하였으며, 중국 역시 Y-5란 명칭으로 약 5,000여 대를 생산했다. An-2는 복엽기 설계를 채용하여 뛰어난 단거리 ..."
C-46 코만도 수송기,"C-46 수송기는 미국 커티스(Curtiss) 사에서 제작한 쌍발 터보프롭 수송기이다. 1941년 최초로 실전배치된 이후 제2차 세계대전 동안 항공수송 및 공수부대 투하 등의 임무를 수행하였다. C-46는 원래 민항기로 만들어졌다가 군용으로 전용된 기체로, 당대 제일 크고 무거운 쌍발엔진 항공기로도 유명했다. C-46은 6·25전쟁과 베트남전쟁에서도 사용되..."
SP-10 반잠수정,"본 잠수정은 1983년 12월 3일 북한의 무장간첩들이 부산 다대포에 침투할 때 사용하였던 반잠수정을 해군이 노획하여 전쟁기념관에 인도한 것이다. 반잠수정은 잠수함과 고속정을 결합한 장비로서, 수중으로 잠항하여 운행하는 잠수함의 특성과 제트 추진으로 수면 위를 미끄러지듯 질주하는 고속정의 특성을 모두 가지고 있다. SP-10 반잠수정은 HF무전기, 일제GP..."
