용어,설명
"영상 조종 조립체 [Observer Bay, 映像操縱組立體]",UAV의 관측 장비와 공중 감시 카메라 운용을 통제 및 모니터하는 장비.
"영상 해석 [Imagery Interpretation, 映像解析]","(1) 영상에 나타난 물체, 활동, 지형 등의 위치를 확인하고, 이를 인식하고 식별하여 구체적으로 묘사하는 과정. (2) 사진 및 기타 기록 영상으로부터 정보를 추출하는 행위."
"예견 능력 [Look Ahead, 豫見能力]","어떤 분산 시뮬레이션 진행 시간상에서 한 논리 프로세스(예: 시뮬레이터, 페더레이트)에 의한 메시지 발생 예측 최저 제한 구간 시간. 예를 들면, 만약 어떤 페더레이트의 현재 시간이 T이고 그 예견 능력이 L이라면, 그 페더레이트에 의해 생성될 수 있..."
"예비기 [Reserve Aircraft, 豫備機]",(1) 현재 사용 중인 항공기 외에 예상되는 미래 소요에 대비하여 목록에 등록된 항공기. (2) 특정 임무 수행을 위해 직접 투입된 항공기가 임무 수행을 못할 경우 대체하기 위한 항공기.
예비탄 [豫備彈],"사격 시험 시, 어떠한 사유로 시험 결과를 측정하지 못하여 추가 시험이 필요하거나 규격에 의한 2차 시험을 실시할 경우에 대비하기 위한 예비용 탄약."
"예상 지점 [Expect Point, 豫想地點]","예상 사격에서, 이동하는 목표물이 도달하리라고 예상되는 지점."
"오류 검출 [Error Detection, 誤謬檢出]",처리 데이터가 올바른가를 검사하거나 하드웨어나 소프트웨어상의 틀린 장소를 검출하는 것.
완전 관통 [完全貫通],철갑탄을 장갑 표적에 발사했을 때에 표적의 후면부에서 새어 나오는 빛을 감지할 수 있을 정도의 관통.
"외생 변수 [Exogenous Variable, 外生變數]",주어진 모델의 외부 상황과 사건에 의하여 값이 결정되는 변수.
"요격 어뢰 [Intercept Torpedo, 邀擊魚雷]",공격해 오는 대상을 기다리고 있다가 도중에 맞받아치는 어뢰.
"요청 사격 [Call Fire, 要請射擊]",피지원 부대의 요청에 의하여 실시되는 특정 표적에 대한 사격.
"우주 감시 체계 [Space Surveillance System, 宇宙監視體系]","우주를 대상으로 하는 컴퓨터의 가동 상태를 상시 감시하며, 필요할 때마다 제어 및 검색을 수행하는 시스템."
"공중 감시 통제 [Aerospace Surveillance & Control, Air Surveillance Control, 空中監視統制]",항공기가 공중 통로(air corridor) 및 접근로 내에 머무르며 특정 공간에는 진입하지 않도록 확인하는 데 필요한 통제.
"공중 기동 지원대 [Airmobile Support Party, 空中機動支援隊]",착륙 지대에서의 강습 착륙과 그곳의 예하 부대의 잠정적 군수 지원을 용이하게 하기 위해서 편성된 육군의 특수 임무 편성 부대.
"공중 보급 [Aerial Supply, 空中補給]","(1) 공중으로 보급품이 지상 구조반이나 생존자에게 전달되는 행위 혹은 과정. (2) 항공기로 주 · 부식, 물자, 장비 등을 보급하는 것."
"공중 전방 항공 통제관 [Airborne Forward Air Controller, 空中前方航空統制官]","근접 항공 지원 작전을 협조하고 통제하기 위하여 비 전술 전투기로 작전하며, 기능은 전방 항공 통제관과 유사하고 임무 수행 중 관계 부서와 긴밀한 협조를 유지해야 한다."
"공중 전투 초계 방벽 [Combat Air Patrol Barrier, 空中戰鬪哨戒防壁]","적의 예상되는 공격 방향을 가로지르는 방벽. 부대와 목표 지역 사이에서 운용되는 하나 또는 그 이상의 전투기 편대, 최단 접근로를 사용하는 적기의 공습에 대하여 종심을 갖기 위하여 통제 조건이 허용하는 한 되도록 원거리에 설치한다."
"공중 초계 [Combat Air Patrol, 空中哨戒]",적기의 공습에 대비하여 항공기로 경비하는 작전.
"공중 투하 장비 수리 및 보급 [The Airdrop Equipment Repair And Supply, 空中投下裝備修理-補給]","병력이나 설비, 장비 등 공중에서 투하하는 데 사용되는 낙하산, 공중 투하 용기 등이 파손되거나 고장난 부분을 수리하여 보급하는 것."
"공지 전투 모의 훈련 [Air Land Battle Simulation, 空地戰鬪模擬訓練]","재래전에서 핵 · 화학 · 전자전 등의 가용 전투력을 최대로 통합하여, 제대별 종심 공격으로 전장을 확대하여 적의 선두 및 후속 제대를 동시에 타격함으로써 조기에 주도권을 장악하여 승전의 가능성을 증대시키는 공세적 기동전의 모의 훈련."
"공통 데이터 링크 [Common Data Link, 共通data link]","항공기 센서들의 지휘 통제 · 영상 정보 수집을 위하여 사용되는 상호 운용성이 있으며, 쌍방 쌍신 · 광대역(비대칭) · 대 전자전 기능을 가진 디지털 데이터 통신 체계. 전술 메시지 · 음성 및 영상 · 파일 전송 · 제한된 비디오 채널과 ISR 정보 제공을 위한..."
"공항면 탐지 장치 [Airport Surface Detection Equipment, 空港面探知裝置]","고주파를 사용하여 공항 내의 항공기나 차량을 살피고, 이동을 관리 · 통제하는 근거리 레이더 장치. 안개나 비 따위로 시계가 나쁠 때 충돌 따위의 사고가 나지 않도록 한다."
"과열 원자로 [Nuclear Superheat Reactor, Superheat Reactor, 過熱原子爐]",핵과열에 의해서 운전하는 증기 조건을 향상시킨 원자로.
"관리 기술 [Management Skills, Managerial Skills, 管理技術]","산업의 근대화와 조직의 대형화에 따라 요청되는 경영 관리상의 여러 기술. 거대한 조직에서의 인간은 개인적인 질(質)로서보다는 서로 교환 가능한 양(量)으로서 다루어진다. 인간의 호환성(互換性) · 물상화(物象化)가 두드러지는 반면, 조직 운영상..."
"관제탑 [Control Tower, 管制塔]","공중 항적을 무선으로 통제하고, 육안 혹은 레이더로 관측하는 비행장에 설치된 높게 솟은 시설물. 관제탑은 비행장 시설이 완비된 기지 비행장 등에 설치되어, 이 · 착륙하는 항공기, 비행장에 접근하는 항공기 또는 비행장 주위를 비행하는 항공기에..."
"광 도파관 [Optical Waveguide, 光導波管]",빛을 전달하는 물질을 사용하는 도파관.
"광학 추적 장치 [Target Adjunct System, 光學追跡裝置]","적의 전자 방해 및 미사일 공격 효과를 감소시키기 위한 시각 추적 체계. 전자 방해책(ECM, Electronic Counter Measures, 대방사 유도 미사일(ARM, Anti Radiation Guidance Missile)에 의한 방공 레이더 송신을 극소화하고 작동 효율성과 생존..."
"유지 운영 자금 [Maintenance And Operation Fund, 維持運營資金]",한 회계 연도를 통하여 가장 정상적인 상태하에서 한 부대를 유지 · 운영하는 데 필요한 자금.
"유효도 [Efficiency, 有效度]",표준 수행 능력에 대한 실제 수행도의 비율.
"유효 적재량 [Valid Loadage, 有效積載量]","기체 무게를 제외한 항공기의 무게. 연료, 윤활유, 승무원 따위를 포함한다."
"육로 수송량 [Highway Transport Lift, 陸路輸送量]",차량 또는 1개 수송 부대가 한 번의 운행으로 수송할 수 있는 톤수 및 인원.
"육상기 [Land Plane, 陸上機]",육지에 착륙하도록 바퀴로 된 착륙 기어를 가진 항공기.
"융단 공격 [Blanket Attack, 絨緞攻擊]",적 항공기와 비행장에 최대의 피해를 입히기 위하여 대량의 항공기가 목표 지역에 대량의 폭탄을 투하하는 공중 작전.
"융합 [Fusion, 融合]",(1) 어떤 활동에 대한 완벽한 평가를 도출하기 위해 모든 출처의 정보 혹은 첩보를 검토하는 과정. (2) 관측된 자료를 더욱 상세하고 개선된 정보나 지식으로 변화시키는 일련의 절차.
"은닉 서명 [Blind Signature, 隱匿署名]","임의의 전자 서명을 만들 수 있는 서명자와 서명 받을 메시지를 제공하는 제공자로 구성되어 있는 서명 방식. 제공자의 신원(메시지, 서명)을 숨길 수 있는 서명 방법이다."
"음탐 전보 [Sonar Message, 音探電報]",주어진 시간의 작전 해역의 수중 온도 상태에 관한 정보를 전달하는 전보.
"음향 소해 [Acoustic Sweep, 音響掃海]",소해 함정의 현측 또는 함미에 설치한 음향 발생기에 의하여 형성되는 음향을 이용하여 음향 기뢰의 발화 장치를 작동케 하는 소해 방법.
"음향 신호 [Acoustic Signature, 音響信號]","(1) 송신된 모든 음파를 의미하는 전자 공학 용어. (2) 작전적인 측면에서 볼 때 하나 이상의 글자, 단어, 문자, 수기 신호, 영상 화면, 혹은 의미가 설정된 특수한 소리 등으로 구성된 일종의 전문이나 내용."
"음향 정보 [Acoustic Information, 音響情報]",의미가 아닌 말소리에 기초를 두는 정보.
"음향 탐지 [Sound Volume Detection, 音響探知]",찾으려는 물체가 내보내는 소리 또는 물체에서 반사되어 되돌아오는 소리에 의하여 그 물체의 자리와 방향을 알아내는 일. 초저음파에서 초음파에 이르는 주파수의 소리를 그 대상으로 한다.
"이동 관리 부대 [Movement Control Agencies, 移動管理部隊]","인원 및 화물의 발송 또는 수령 부대 간의 직접적인 수송 임무를 담당하는 부대. 부대는 수송 이동 관리단, 수송 이동 관리대 및 수송 이동 관리반 등으로 구성되어 있다. 원칙적으로 수로, 철도, 육로, 항공 등의 전 수송 방법에 대하여 이동 관리 업무를..."
"이동 무선 기지 장비 [Radio Access Unit, 移動無線基地裝備]","노드 또는 부대 지휘소에 설치하여 이동 무선 단말기(MST)와 전술 통신 체계망 내 유 · 무선 가입자를 연결해 주는, 이동 무선 기지국의 기능을 수행하는 장비."
"국제 항공 업무 통과 협정 [International Air Services Transit Agreement, 國際航空業務通過協定]","정기(定期) 국제 항공 업무에 종사하는 각 체약국의 항공기에 대하여 다른 체약국의 영공을 무착륙 통과하거나 또는 비 운수 목적으로 착륙할 수 있는 특권을 부여하도록 한 협정. 1944년 시카고에서 체결하였고, 우리나라는 1960년에 가입하였다."
"군 보급품 [Military Supplies, 軍補給品]","식량, 피복, 장비, 무기, 탄약, 유류, 기타 각종 자재 및 여러 종류의 기계를 포함한, 군을 장비하고 유지하며 운용하는 데 필요한 모든 품목."
"군사 분계선 [Military Demarcation Line, 軍事分界線]","두 교전국(交戰國) 사이에 휴전이 제의되었을 때, 그어지는 군사 행동의 경계선. 한국의 경우 1953년 7월 27일에 성립한 '한국 군사 정전에 관한 협정'에 규정된 휴전의 경계선을 말하며, 이것이 이른바 휴전선이다. 그 길이는 모두 155마일(약 250k..."
"군사 특기 [Military Occupational Specialty, 軍事特技]",군의 다양한 업무를 전문 분야별로 세분화하여 개인이 가진 전문 지식과 능력 · 소양 등을 기초로 하여 그가 가장 능률적으로 직무를 수행할 수 있는 분야를 지정하는 군 인사 관리 제도의 하나.
"군사 행동 [Military Action, 軍事行動]","군대가 군사상의 목적으로 하는 모든 행동. 전투, 훈련, 부대 이동 따위를 이른다."
"군수 자료 [Korea Item Logistics Data Record, 軍需資料]","품목 식별을 거쳐 재고 번호를 부여 받은 품목의 보급품 인정서. 단일 품목별로 독립적으로 기록된 카드식 서술 자료이다. 연구 · 조달 · 재고 관리 기관, 수송 기관에서 이용하는 품목의 특성을 식별해 주는 정보이며, 전산 체계로 관리 · 유지 및 출력이..."
"군수 정비 [Logistic Maintenance, 軍需整備]",군수 물자가 제대로 작동하도록 보살피고 손질함.
"군용 통신 설비 [Military Communication Facilities, 軍用通信設備]",군용 통신을 하기 위한 기계 · 기구 · 선로 · 기타 군용 통신에 관련된 설비.
"군정 [Military Administration, 軍政]","(1) 법률의 원리, 원칙 및 전쟁 규칙에 의거하여 군 지휘관이 점령 지역에서 입법 · 사법 · 행정 권한을 행사하는 통치 기능. (2) 국방 목표 달성을 위하여 군사력을 건설 · 유지 · 관리하는 양병 기능으로서 국방 정책의 수립, 국방 관계 법령의 제정, 개정..."
군 정밀 측정 시험소 [軍精密測定試驗所],표준 장비의 정확도를 유지하기 위하여 온도 및 습도가 조절되며 먼지 및 충격을 방지할 수 있는 시설을 갖추고 군 표준을 유지 · 관리하는 정밀 측정 시험소. 군 1급 정밀 측정 시험소는 군 정밀 측정 체계의 최상급 교정 검사 부대로서 기준 표준 장비를...
그로밋 [Grommet],"보호 고리 철판을 관통하는 배선, 파이프 등의 손상을 방지하기 위하여 관통 구멍에 끼우는 고무 제품의 보호 고리."
"근지점 [Perigee, 近地點]","지구 주위를 도는 달이나 인공위성이 궤도상에서 지구와 가장 가까워지는 점. 반대로 지구와 가장 멀어지는 점을 원지점(遠地點)이라 한다. 일반적으로 지표에서부터의 높이로 나타낸다. 달과 지구의 평균 거리는 약 384,400km이며, 근지점과 원지..."
"금속 도료 [Metallic Paints, 金屬塗料]",금속 제품에 사용하는 도료로서 소지에 직접 칠하는 소지용 도료와 외계로부터의 보호와 가장 중심의 표면용 도료로 대별된다.
"급수 [Water Supply, 給水]",음료수 따위의 물을 대어 줌. 또는 그 물.
"기관총 [Machine Gun, Machine Rifle, 機關銃]",소화기 탄약을 계속해서 자동적으로 발사하는 화기.
"임계 경로 [Critical Path, 臨界經路]",작업 개시에서 종료까지의 과정을 조합시킨 경로 중에서 가장 긴 경로. 전체 공정 중 시간이 가장 많이 걸리는 경로이다.
"임멜만 기동 [Immelmann, Immelmann機動]",배면 상태인 반loop를 만들고 이후 에일러론을 사용하여 배면을 수평 비행 자세로 회복함으로써 항공기의 방향을 180° 변화시키는 기동. 제1차 세계 대전 중 독일의 조종사 막스 임멜만이 개발한 전투 기동 비행술이다.
"입수선 [Splash Line, 入水線]",야간 작전 중인 수중 파괴반 요원이 고무보트로부터 물속에 들어가는 적 해안상의 지점. 이 선은 적에게 탐지되지 않고 그 임무를 완수할 수 있도록 해안으로부터 충분히 이격되어야 한다.
"입자 포집기 [Particle Trap, 粒子捕執機]","대기 중의 공기 입자를 흡입 · 농축하고 시료를 액상화하여 공급하는 기기. 입자의 충돌법을 활용하여 일정 크기의 입자만을 선택적으로 수집 · 농축할 수 있으며, 분당 450L의 공기를 수집 · 농축할 수 있다. 0.1~10μm 크기의 입자를 농축하는 농축부..."
"자금 [Fund, 資金]","예산 회계법상 국가 사업에 요구되는 비용. 즉, 세출 및 국고 채무의 지출 재원에 충당하기 위하여 준비된 현금을 말한다. 세입금을 위시하여 국채 모집금, 재정 증권 모집금, 차입금, 일시 차입금 등 국고금의 출납상 필요한 수입금은 모두 자금이라 칭..."
"자기 모멘트 [Magnetic Moment, 磁氣moment]",물리학에서 자석이나 전류 고리로 이루어진 계가 가지는 물리량의 하나. 주어진 계와 외부와의 전자기적 상호 작용을 파악하는 데 이용된다.
"자동 보급 [Automatic Supply, 自動補給]","사용 부대의 청구 없이 자동적으로 불출되는 보급 제도. 추정, 경험 또는 소비 실적률에 기초를 두고 일정한 기간 동안 자동적으로 발송 또는 불출되는 제도이다. 창설 부대에 대한 초도 보급이 그 대표적인 예이다."
"자동 이득 제어 [Automatic Gain Control, 自動利得制御]",전자기 장비의 신호 증폭 회로에서 출력(output)을 일정하게 하거나 어떤 신호 레벨을 초과하지 않게 하는 일. 수신되는 신호의 세기와 관계없이 일정한 크기의 신호를 출력한다.
"자동 제원 처리기 [Automatic Data Processing Equipment, 自動諸元處理機]",사무나 복잡한 계산을 자동으로 처리하는 전자계산기. 군에서는 급여 · 인사 행정 · 군수 보급 행정 등에 이용하고 있으며 다음과 같은 장비로 구성되어 있다. (1) 디지털 전자계산기: 자동적인 산출 또는 기타 논리적인 계산을 할 수 있는 한 대의 기계...
"자동 회전 비행 [Autorotation Flight, 自動回轉飛行]",비행기가 활공하는 것과 같이 엔진 동력에 의존하지 않고 공기 역학에 의한 깃(blades)의 회전력만으로 이루어지는 회전익 항공기의 강하 비행.
"자료 교환 표준 [Data Exchange Standard, 資料交換標準]",통신망으로 연결된 시뮬레이션과 시뮬레이터 노드 사이의 자료 교환에 사용되는 자료 메시지의 형식과 내용을 정식으로 정의한 프로토콜.
"자세 자이로 [Posture Gyro, 姿勢gyro]","기준 좌표계에 대하여 항공기나 우주선의 비행 자세를 나타내는, 자이로로 움직이는 장치."
"자세 제어 로켓 [Attitude Control Rocket, 姿勢制御rocket]",우주선의 자세 조종이나 병진(竝進) 운동을 제어하기 위해 우주선에 부착하는 소형 로켓.
"자위대 [Japanese Selfdefense Military, Japan Selfdefense Forces, 自衛隊]","일본의 방위 조직으로서 육 · 해 · 공 3개로 이루어진 군사 조직. 일본 방위성에 소속되어 있다. 1950년 창설된 경찰 예비 학교와 1952년 창설된 해상 경비대를 모체로 하고 있다. 1952년에 보안대, 경비대로 각각 개편된 뒤, 1954년 7월 1일 자위대..."
"자재 수리 요구서 [Material Repair Requirement List, 資材修理要求書]","각종 수리 부속의 국내 수리 능력 미비로 인하여 해외 창 수리를 필요로 할 때 발행하는, 대미 수리 의뢰 대상 품목의 대외 군사 판매 수리 인가 요구서. 수리 케이스(case)에는 보급 지원 협정(SSA)에 의한 품목 확정 수리 케이스, 비확정 수리 및 총괄 구..."
"잠수 전대 [Submergence Troops, 潛水戰隊]",두 척 또는 세 척의 잠수함으로 편성한 해군 전대.
"잠수함 구조 챔버 [Submarine Rescue Chamber, 潛水艦構造chamber]","잠수함 구조 장비. 잠수함 구조함에서 강하 및 인양하도록 되어 있으며, 잠수함의 함수 해치에 접합하여 함내 승조원을 구조하도록 되어 있는 장비이다."
"잠정 편성 장비표 [Tentative Table Of Organization & Equipment, 暫定編成裝備表]","시험적인 편성을 하고 있는 부대에서 인원, 장비 혹은 그 양자에 대하여 규정한 표."
잡음 분석 [雜音分析],지정된 잡음에 관계하고 있는 진동수를 결정하는 일.
"장갑차 [Armored Vehicle, 裝甲車]","적의 총포 공격으로 인한 피해를 줄이기 위하여 차체를 강철판으로 덧씌운 차들을 통틀어 이르는 말. 전차, 장갑 인원 수송차, 장갑 열차 따위가 있다."
"장해 억제도 [Degree Of Interference Suppression, 障害抑制度]","전자파 장해 측정 수신기로 가중된 장햇값을 측정할 때, 규정된 주파수 범위 내에서 개개의 차량 시스템에 의해 유지되어야 하는 전자파 장해 전압의 최대 레벨값."
"재고품 [Inventory, 在庫品]",창고에 쌓아 둔 보급품.
"재분류 [Regrade, 再分類]",정보 항목에 부여된 등급을 상향 혹은 하향 조정하는 일.
"저고도 침투 [Low Altitude Low Opening, 低高度浸透]",가능한 한 최저 고도 비행을 유지하여 적지 또는 위협 지역을 침투하는 일.
"저압 터빈 [Low Pressure Turbine, 低壓turbine]","고압 터빈을 통과하면서 저온 · 저속이 된 연소 가스의 에너지를 다시 흡수해서, 팬 로터를 구동시키는 데 필요한 에너지로 사용하기 위한 터빈."
"저위력 핵무기 [Nominal Nuclear Weapon, 低威力核武器]","약 20킬로톤에 상당하는 폭발력을 가진 핵무기를 기준으로 하여, 그보다 낮은 위력을 가진 핵무기를 이르는 말."
"저장품 기능 시험 프로그램 [Stockpile Function Test Program, 貯藏品機能試驗program]","화학 물자 저장소에서의 기능 시험, 훈련 시설에서의 기능 시험 및 시험소 분석에 의한 기능 시험으로 저장 물자의 신뢰성과 성능을 결정하는 활동."
"적 능력 [Enemy Capabilities, 敵能力]","적이 실제적으로 수행할 수 있는 방책으로서, 만약 적이 채택한다면 우리의 임무 완수에 영향을 미칠 수 있는 방책. 적 능력은 시간 · 공간 · 기후 · 지형 및 적군의 병력과 군사 작전에 영향을 미치게 될 모든 기존 요소를 포함한다. 전략적인 측면에서는..."
"적대 행위 [Hostile Act, 敵對行爲]",적대 세력이 아군의 영토 · 국민 · 재산에 대해 무력 행위를 자행하거나 우군의 임무 혹은 직무를 방해 · 저지하기 위해 직접적으로 무력을 사용하는 행위.
"적외선 감소 장치 [Infrared Suppression System, 赤外線減少裝置]",함정의 적외선 신호 발생량을 줄이기 위해 배기 온도를 낮추거나 송풍 장치 등을 이용하여 선체 온도를 낮추는 장치.
"대잠 억제 전술 [Hold Down Tactics, 對潛抑制戰術]","적 잠수함의 활동을 견제하고 부상하지 못하도록 압력을 가하는 전술. 잠수함이 정보 수집을 못하게 하고, 통신 및 공격 위치 선정을 불가능하게 하며, 축전지를 전량 소비하도록 강요한다."
"대잠용 항공 모함 [Antisubmarine Warfare Aircraft Carrier, ASW Aircraft Carrier, 對潛用航空母艦]",잠수함을 탐색하여 공격하는 임무를 수행할 수 있는 능력을 갖춘 항공모함.
"대전자 공격 [AntiEA, 對電子攻擊]","우군의 통신망과 무기 체계에 대한 적의 전자 방해, 기만 등 적대 행위의 효과를 감소 또는 무력화시키기 위하여 사용되는 모든 대책. 기능적으로 전자 보호(EP)의 범주에 속한다."
"대전차 고폭탄 [Highexplosive Antitank, High Explosive Antitank Shell, 對電車高爆彈]",탄두 내에 충전되어 있는 성형 장약에 의해 발생한 고온과 고속의 분사 제트로 장갑을 관통하여 파괴하는 화학 에너지 탄의 한 종류. 대전차 고폭탄은 성형 작약에 의해 생성되는 제트가 관통 성능에 큰 영향을 미치므로 일반적으로 날개 안정 철갑탄보...
"대침투 작전 [Counter Infiltration Operation, 對浸透作戰]",평시 지상 · 해양 · 공중을 통하여 침투하는 적의 특수 부대 및 요원을 포착 · 격멸하거나 소탕하기 위하여 실시하는 제반 활동.
"대한민국 수준 원점 [The Origin Point Of Korea Geodetic Vertical Datum, 大韓民國水準原點]",우리나라의 국토 높이를 결정하는 데 기준이 되는 점. 인천 앞바다의 평균 해수면(표고: 0m)을 기준으로 결정하였다. 1963년 국토지리정보원에서는 인천 앞바다의 평균 해수면을 지상의 고정점에 옮겨 설치하였다. 이 점은 인천만에서 실시한 조위 관...
"대화생방 테러 장비 [Counter NBC Terrorism Equipment, 對化生放terror裝備]","화생방 테러 대응을 위하여 사용하는 장비. 공기 호흡기, 공기 충전기, 소석회 살포기, 특수 방독면 및 특수 보호의, 가스 탐지기 등이 있다."
더치 롤 [Dutch Roll],"롤링과 요잉을 포함하는 진동 주기는 대체로 3초 내지 8초 정도이며, 가로 방향의 불안정한 항공기 진동. 경비행기는 수초 동안 지속되며, 대형 항공기에서는 1분 이상 지속될 수 있다. 네덜란드 스피드 스케이터가 얼음을 따라 활강할 때의 운동에서..."
데드 다이브 [Dead Dive],비행기가 공중에서 직각으로 아래를 향하여 내려오는 일.
"도해식 사표 [Graphical Firing Tables, 圖解式射表]","도표식 사표의 제원을 기초로 하여 사격 제원을 보다 쉽고 신속하게 도해식으로 판독할 수 있도록 제작한 사격 기재. 모든 탄종에 대하여 각 대포별로 제작되어 있으며 저사계, 고사계, 조명탄 등 3가지 종류가 있다."
"독립 시간 진행 [Independent Time Advancement, 獨立時間進行]",연합을 구성하는 참여 시뮬레이션 체계들 간에 상호 명확한 조정 없이 발생하는 시간 진행 수단. 분산 대화형 시뮬레이션은 독립 시간 진행을 사용하는 연합 구성의 한 예이다.
"동기 물림 변속 기어 [Synchromesh, Synchromesh Change Gear, 同期--變速gear]",변속 시 맞물릴 두 기어를 마찰 따위의 방법으로 시기를 같게 하여 속도가 일치되었을 때 서로 맞물리게 한 기구.
"동력 분할기 [Power Splitter, 動力分割器]","구난 차량의 유압 인양기와 후방 윈치에 동력을 공급해 주는 장치. 조종 레버는 운전석 좌측에 있으며 사용하지 않을 때는 잠금쇠를 잠가 중립 위치에 고정시키고, 사용할 때에는 잠금쇠를 풀고 앞쪽으로 밀어 치합시킨다."
"동위 원소 분리 [Isotope Separation, 同位元素分離]","천연 우라늄을 농축 우라늄과 열화 우라늄으로 분리하는 것처럼, 한 원소에 대한 동위 원소의 혼합물이 구성 동위 원소들로 분리되거나, 이러한 혼합물에서의 동위 원소 비율이 변화하는 과정. 현재 다양한 형태의 동위 원소 분리법이 사용 중이거나 개..."
"동적 모형 [Dynamic Model, 動的模型]",시간 변수를 포함한 모델.
"전자 서명 [Digital Signature, Electronic Signature, 電子署名]","메시지 다이제스트를 이용하여 보내는 내용을 보내는 사람의 개인 키로 암호화한 방식. 전자 서명은 메시지 다이제스트 처리 전의 원래 정보와 함께 전달하게 되는데, 원래의 정보와 전자 서명을 이용하여 인증, 무결성, 부인 방지를 모두 해결할 수 있다."
"전자 유체 추진 장치 [Magnetohydrodynamics, 電子流體推進裝置]",선체에 고정된 자석과 전극에 의해 해수 중에 형성된 전장과 자장과의 상호 작용에 따라 발생된 전자석(로렌츠의 힘)을 플랫폼의 추진력으로 활용하는 추진 장치.
"전자 지도 [Digital Map, 電子地圖]",종이 지도나 항공 사진 등을 디지털 방식으로 변환하여 소프트웨어적으로 구현한 지리 정보. 전자 지도는 특정 지형지물의 위치나 초단거리 도로 정보 등의 기초 정보 제공 외에도 사용자의 요구에 맞는 지리정보시스템(GIS) 데이터 구축 등 폭넓은 용...
"전자 진각 장치 [Electronic Spark Advancer, 電子進角裝置]","점화 시기의 제어가 전자 제어 유닛(ECU)에 의하여 이루어지는 장치. 엔진의 회전수, 흡입 공기량 등의 상태를 센서로 감지하고 ECU에서는 가장 적합한 점화 시기를 연산하여 점화 장치에 전기적 신호를 보내어 점화가 이루어지도록 한다."
"전장 축소형 소총 [Bullpup, 全長縮小形小銃]","노리쇠를 포함한 작동 기구와 탄알집을 방아쇠 후방에 위치시킴으로써 동일한 총열 길이를 유지하면서도 총 전체의 길이를 축소시킨 소총. 대표적으로 영국의 SA80, 오스트리아의 Styer AUG, 벨기에의 F2000 등이 있다."
"전쟁 대비 수리 부속 [War Readiness Spare Kit, 戰爭對備修理附屬]",전시에 비행 대대가 모기지에서 타 기지로 전개될 때를 대비하여 평시에 비축해 두는 부속품의 품목. 30일간의 항공 작전 임무를 수행하는 데 소요되는 부속품을 평시에 확보 · 비축한다.
"전쟁 모의 [War Game, 戰爭模擬]","상대군 역할을 담당하는 둘 이상의 참가자들에 의해 수행되는 전쟁 시뮬레이션. 실제 군사력을 운용하지 않고 실제 또는 가상의 군사 작전을 묘사할 수 있는 수단, 규칙, 제원 및 절차에 의해 수행한다."
"전 지형 차량 [All Terrain Vehicle, 全地形車輛]",(1) 도로 이외의 지형에서도 사용할 수 있는 탈 것의 총칭. (2) 사륜 산악 오토바이.
"전진 착륙장 [Advanced Landing Field, 前進着陸場]","목표 지역의 내부 또는 부근에 위치하며, 통상 최소한도의 시설을 갖춘 비행장."
"전천후 착륙 체계 [All Weather Landing System, 全天候着陸體系]",지상 설비와 항공기 탑재기로 구성되어 있으며 악천후에도 착륙을 가능하게 하는 장치.
"전 출처 통합 데이터베이스 [All Source Fusion Database, 全出處統合database]","새로운 정보 혹은 첩보를 받거나 융합할 때 전 출처 정보 융합 과정을 용이하게 해 주는 정보 집적소. 주로 식별된 위협, 미확인 및 중립 부대, 장비, 시설, 설비, 각개 병사, 사건, 조직의 활동 시간, 위치 그리고 실질적 특성들이 포함된다. 전 출처 통합 데..."
"전투 공간 개체 [Battlespace Entity, 戰鬪空間個體]","실제 전장에서 볼 수 있거나 탐지될 수 있는 실제 장비, 보급품 및 병력 등에 대응되는 시뮬레이션 개체."
"전투기 교전 구역 [Fighter Engagement Zone, 戰鬪機交戰區域]",전투기에 의하여 교전이 이루어지는 구역. 공역 통제가 통합적으로 이뤄지도록 통상 단거리 지상 · 해상 방공 체계의 교전 범위를 벗어난 상공이나 교전 범위를 넘어선 곳에 설정된다.
"전투 기술 [Combat Techniques, 戰鬪技術]","지휘관, 개인, 부대가 전투 시 부여된 임무를 수행함에 있어 인원, 화기, 장비 등을 사용하는 방법."
"전투기 엄호 [Fighter Protection, 戰鬪機掩護]",적의 공군 활동을 격퇴하기 위하여 특정 지역 또는 부대 상공에 여러 대의 전투기를 배치하는 일.
"전투기 호위 [Fighter Escort, 戰鬪機護衛]",적 항공기의 공격으로부터 우군 항공기를 보호하기 위해 펼치는 전투 활동.
"전투 실험 [Warfighting Experiment, 戰鬪實驗]","전투 발전 분야에 공학적인 실험 방법을 적용하는 것으로, 운용 개념과 요구 능력을 충족하는 신기술, 신체계, 신교리, 신조직 등의 대안들을 점진적으로 실험하고 성숙시켜 성공이 보장되도록 하는 소요 제기 과정."
"전투 예비 유류 [Combat Reserve Oil, 戰鬪豫備油類]","전시를 대비하여 평시에 확보하고 있는 유류. 평시 운영용과 별도 기록 계정하여 저장하며, 편제 장비에 우선 충만시키고 잔량은 유류고에 저장 · 관리한다. 저장지 입구 및 드럼에 전투 예비 유류 표지를 설치하고 저장 중 검사 및 순환 주기에 의거하여..."
"전투 평가 [Combat Assessment, 戰鬪評價]","표적 업무의 최종 절차로서, 군사 작전 시의 전력 운용에 대한 전반적인 효과를 평가하는 일. 전투 평가는 전투 피해 평가, 무기 효과 평가, 재공격 건의의 세 가지로 구성된다."
