term,pdf,example
정찰기,국방과학기술플러스 Vol.256,"“위성항법장치 수신기 교란기술” 은 크게  두 종류로 나뉘는데, “잡음재밍” 을 통해 위성신호 수신을  전체적으로 방해할 수 있으며, 다음으로, “기만재밍(스푸핑)” 을 수행하여 적 정찰기가 잘못된 위성신호를 수신하게 함으로써, 정상운항을 방해 할 수 있다."
정찰기,국방과학기술플러스 Vol.256,적 정찰기 KADIZ 침범은 영공 침범이 아니므로 잡음 재밍으로 운항을 방해한다면 국제 분쟁으로 이어질 가능성도 배제할 수 없다.
정찰기,국방과학기술플러스 Vol.255,"첫째, 시험자원을 이동, 설치하는 데에 많은 비용이 소모되므로 중장기적으로 중고도 무인정찰기를 원격측정자료 수집, 광학계측, 통신 중계 등 시험계측에 활용할 수 있다."
정찰기,국방과학기술플러스 Vol.260,위 사고는 RQ-4B T/N 09-2041 Global Hawk 고고도 무인정찰기의 사고사례이다.
정찰기,국방과학기술플러스 Vol.260,"무기체계에서 안티탬퍼의 중요성은, 2001년 일명 “하이난 섬 사건”으로 불리는, 미 해군 EP-3E(SIGINT 정찰기, 그림 1)가 중국 J-8II 전투기와 충돌 후 미 승무원들이 11일간 억류되었다가 석방된 사건을 통해 크게 부각되었다."
정찰기,국방과학기술플러스 Vol.260,"또한, 2011년 12월에 이란 동부 국경에서 추락한 미군 RQ-170 Sentinel(무인정찰기)을 리버스 엔지니어링하여 이란이 개발한 Shahed-129 무인기[2]가 공개되었을 때, 그리고 2019년 Shahed-129의 변종인 공격무인기 Simorgh가 공개되었을 때, 미국의 안티탬퍼는 더욱 강화되었을 것임이 자명하다."
정찰기,국방과학기술플러스 Vol.256,"중국은 2010년 시안 항공사에서 Y-8 을 대체하기 위한 용도로 Y-9 수송기를 개발하여 공개한 이후, 육·해·공군에서 Y-9을 다양한 용도(수송기, 정찰기, 전자전기 등)로 개조하여 운용중 이다."
정찰기,국방과학기술플러스 Vol.256,"또한, 2014년도 이후부터는 중국, 구·소련, 러시아의 무인기를 변형하거나 복제한  모델을 이용한 북한 소형무인기의 침범이 다수 발생하고 있어, 중국의 스텔스 무인기를 이용한 한반도 상공 정찰, 중국의 항공 유인 전자전 무기체계는 한반도주변 에서 자주 목격되고 있는 정찰기와 전자전기로 대표된다."
정찰기,261 국방과학기술플러스_최종안,"하지만, 이스라엘의 ELTA, IAI, Rafael 사의 장비에 의존하여 RF-16펠콘 유인정찰기, 송골매 무인정찰기, P-3C 성능개량기 등을 운용하였다."
정찰기,국방과학기술플러스 Vol.256,"그림 10은 중국의 대표 적인 KADIZ 침범경로 이며, 그림 11은 Y-9 정찰기이다."
정찰위성,국방과학기술플러스 Vol.258,군 정찰위성 체계는 및 정밀 시각동기 등을 수행하여 항법체계의 전체적인  운용을 담당한다.
정찰위성,국방과학기술플러스 Vol.256,"정지궤도 신호정보 정찰위성은 주변국 지상, 해상, 공중에 대한 광역 전자 신호 수집능력을 확보할 수 있는 가장 확실한 방안이라  사료된다."
정찰위성,국방과학기술플러스 Vol.256,그림 25에서 알 수 있듯이 미국 우주군은 정지궤도/저궤도 위성을 이용하여 적 정찰위성(ES/SIGINT)을 재밍하려는 개념을 지니고 있다.
정찰위성,국방과학기술플러스 Vol.256,"정지궤도 신호정보정찰위성을 개발하고 운용하는 것은 거의 실시간으로 적 위협을 정찰하고 추적하여 표적화할 수 있는 능력을 갖추게 된다는 것을  의미하며, 아울려 지휘관의 군사 전략적 결심을 내리는데 결정적인 정보를 제공해 준다는데 그 의미가 크다 하겠다."
정찰위성,국방과학기술플러스 Vol.258,"고출력레이저 위성추적체계는 자국 우주자산에 대한  추적·보호, 군 정찰위성 등 국가위성의 안정적인 운용 지원 및 미확인 우주물체에 대한 추적·감시능력 확보하여, 위성 정밀추적을 통해 적성 정찰위성에 대한 Soft Kill 능력을  확보하는 위성감시용 능동방어 체계이다."
정찰위성,국방과학기술플러스 Vol.256,중국의 정찰위성은 Yaogan(야오간) 시리즈로 대표 된다.
정찰위성,국방과학기술플러스 Vol.258,"[그림 22] 군 정찰위성 개념도[그림 23] 우주감시소 전경(마우이 섬)[그림 24] 광학 우주감시체계 개념도우주 전장감시체계는 평시에는 주변국 위협에 대비하여 도발 징후를 탐색하거나 정찰하고, 전시에는 군사 전략 정보를 수집하고 분석하는 핵심적인 역할을 수행한다."
정찰위성,국방과학기술플러스 Vol.256,"그림 29는 신호정보정찰위성의 운용개념도 이며, 신호정보정찰위성은 정지궤도 위성체에 초고감도 신호정보 수신장비를 탑재하여 고고도 환경에서 한반도 주변의 전략/전술 표적에 대한 광역 감시 및 실시간 신호정보를 획득하는 것이다."
정찰위성,국방과학기술플러스 Vol.258,"15년에 미 국방부가 공개한 보고서는 “중국이 통신위성과 감시정찰위성, 위성항법,  기상위성, 유·무인 행성탐사 등에 이르는 여러 민간 우주 프로그램 투자와 병행하여 지향성에너지 무기와 위성 재머 등과 같은 적(敵) 우주자산을 공격하기 위한 다양한 역량 들의 개발을 하고 있다”고 기술하고 있다."
정찰위성,2021국방과학기술플러스252호,대표적으로 감시정찰위성 KeyHole 시리즈[ 5 ] 를 美국가정찰국( N RO ;  N a t i o n a l Reconnaissance Office)에서 운용하고 있다.
정찰위성,국방과학기술플러스 Vol.256,[그림 25] 미국 우주군 위성 탑재 재머 개념도[그림 26] 고출력 슈퍼 재머 개념도[그림 28] 원격지원 전자전기(SOJ)개념도[그림 29] 신호정보정찰위성 개념도[그림 27] 미 우주군의 고출력 통신재머적 위성 대응 방안으로 저궤도 위성 및 무인기에 탑재하여 운용되는 재머를 개발하는 방안이 있다.
정찰위성,국방과학기술플러스 Vol.258,2월에 미 해군도 함정발사용 미사일(RIM-161 SM-3)을 발사하여 고장 상태로 궤도를 돌고 있던 자국의 한 정찰위성(USA-193)을 요격하는 데 성공하였다.
정찰위성,국방과학기술플러스 Vol.258,지상시스템은 위성의 정밀 궤도 추정 4) 정찰위성군 체계정찰위성 체계는 주변국의 전방위 위협에 대비한 신속한 징후감시 및 조기경보 능력 확보를 위한 것이다.
지뢰,국방과학기술플러스 251호,임무유형별 군사용 착용로봇 플랫폼 개발동향 ▒ 47[그림 15] 지뢰탐지 근력보조를 위한 착용형 근력보조모듈 구성 및 형상2) 핵심기술지뢰탐지기 무게보조를 위한 팔 근력보조 모듈은 크게 동작구현부와 중력보상부로 구성된다.
지뢰,국방과학기술플러스 251호,"실험은 1) 팔 근력보조 모듈 없이 통상적인 지뢰탐지동작을 하는 경우, 2) 팔 근력보조장치 착용 후 근력보조를 받으며 지뢰탐지동작을 하는 경우, 2가지 경우에 대해서 진행하였다."
지뢰,국방과학기술플러스 251호,이를 위해 그림 17에 제시된 것과 같이 지뢰탐지기를 운용하는 팔 주요 근육에 근전도센서를 부착하였다.
지뢰,국방과학기술플러스 251호,모션캡쳐시스템을 이용하여 획득된 지뢰탐지 병사의 운동데이터를 이용하여 그림 16에 제시된 것처럼 중력보상 요구 토크를 분석하였다.
지뢰,국방과학기술플러스 251호,"지뢰탐지기 하단 구조물을 볼 조인트 끝단 홀에 삽입하는 간단한 조작으로 지뢰탐지기를 장착할 수 있으며, 볼 조인트 회전 운동에 의해 탐지 작업 시 지뢰탐지기 자세를 미세 조정할 수 있도록 설계하였다."
지뢰,국방과학기술플러스 251호,지뢰탐지 근력보조 모듈1) 개요국방과학연구소는 2019년부터 민군기술협력사업을 통해 지뢰탐지 병사의 근력보조를 위한 엑소수트 시스템을 개발하고 있다.
지뢰,국방과학기술플러스 251호,대신 지뢰탐지기 무게 지지는 등쪽에 위치한 중력보상부에서 담당한다.
지뢰,국방과학기술플러스 251호,동작구현부는 지뢰탐지병사가 지뢰탐지기를 좌우로 스위핑 (sweeping)하는 동작을 구현한다.
지뢰,국방과학기술플러스 251호,"지뢰탐지 병사는 약 4kg 정도 무게의 지뢰탐지기를 들고 임무를 수행하는데, 고도의 집중력이 요구되는 지뢰탐지 작업동안 팔에 집중되는 지뢰 탐지기 부하는 팔 근육의 피로도 발생을 가속화하여 약 20분 이상 작업을 지속하지 못하게 한다."
지뢰,국방과학기술플러스 251호,현재 우리나라에서는 남북경협 활성화를 준비하기 위하여 DMZ 일대 지뢰탐지/제거 필요성이 대두되고 있다.
지뢰,국방과학기술플러스 251호,개발된 팔 근력보조장치를 착용한 후 지뢰탐지동작을 수행할 경우 이두근의 근활성도가 75% 감소되었다.
지뢰,국방과학기술플러스 251호,DMZ 일대에는 약 200만개의 지뢰가 묻혀있을 것이라 추정되며 이를 지뢰탐지병사들이 완전히 제거하기 위해서는 200년 이상 시간이 소요된다고 보고되었다.
지뢰,국방과학기술플러스 251호,국방과학연구소는 지뢰탐지병사 팔 근력보조를 위하여 그림 15와 같은 무동력 팔 근력보조 모듈을 개발하고 있다.
지뢰,국방과학기술플러스 251호,지뢰탐지병사가 제안된 팔 근력보조 모듈을 이용하면 지뢰탐지기 운용 중 근육력 및 사용에너지가 감소되어 지뢰탐지 임무시간이 상당히 연장될 것으로 기대된다.
지뢰,국방과학기술플러스 Vol.256,"화생무기 폐기시스템 기술 동향화생무기는 독성의 화생물질과 이들을 투발하기 위한  포탄, 미사일, 지뢰 등의 투발 수단을 총칭한다."
지뢰,국방과학기술플러스 251호,"지뢰탐지 작업 보조 착용 모듈은 지뢰탐지기 (무게: 4kg) 운용 병사의 집중도 향상 및 작업효율 증대를 위해, 지뢰탐지병사 하박에 부착되어 팔 근육 힘을 보조해 줄 수 있도록 무동력 타입으로 현재 개발 중이다."
지뢰,국방과학기술플러스 251호,"하지 착용로봇 기술 외에도 국방과학연구소에서는 임무 특화 상지 기술로, 1) 임무장비를 어깨에 보다 쉽게 견착할 수 있는 무동력 임무장비 견착 모듈 및 2) 지뢰탐지 작업 보조를 위한 무동력 팔 근력보조 모듈에 대한 연구를 수행하였다."
지뢰,국방과학기술플러스 251호,또한 DMZ 일대 유해발굴 작업을 동시에 진행해야함을 고려하여 현재는 병사에 의해 직접 지뢰탐지/제거 작업이 진행되고 있다.
지뢰,국방과학기술플러스 251호,물론 개척전차 또는 폭파에 의해 지뢰제거 작업 속도를 증대시킬 수 있지만 이는 환경 파괴를 초래할 수 있다.
지뢰,국방과학기술플러스 251호,팔 근력보조 모듈 없이 통상적인 지뢰탐지동작을 하는 경우 다른 근육 대비 이두근이 가장 많이 활성화되었다.
지뢰,국방과학기술플러스 251호,근전도신호를 이용하여 지뢰탐지병사 보조를 위해 제작된 팔 근력보조 모듈 착용 유무에 따른 효과도를 분석하였다.
천궁,259호_국방과학기술플러스,"SM-3, GBI(Ground Based Intercepter)는 중간단계, 천궁-II, 사드(THAAD), 패트리어트(Patriot)는 종말단계 미사일 방어에 해당한다."
프레데터,259호_국방과학기술플러스,미국 CSIS 보고서는 프레데터 감시정찰 무인기를 이용하여 500km 거리에서 15초 만에 탄도미사일을 탐지 가능함을 인용하고 있다.
프레데터,국방과학기술플러스 Vol.255,"앞서 설명한 기능을 지원할 수 있는 잠재적인 UAV 원격측정 플랫폼은 글로벌 호크, 프레데터, 록히드 마틴의 Structure Blimp 통합 센서 등이 있다."
프레데터,국방과학기술플러스 Vol.256,프레데터(미국) 복사판으로 알려진 Yi Long 는 2013년 파리 에어쇼에서 처음 공개 되었다.
함포,국방과학기술플러스 Vol.256,Excalibur S를 함포에도 적용 가능한 127mm Excalibur N5를 개발 중이다.
함포,국방과학기술플러스 Vol.256,"미국의 ATK 社는 해군용 5인치 함포탄인 B-TERM(Ballistic Trajectory Extended Range Munition) 탄을 개발한 바 있는데, 텅스텐 케이스로 제작된 탄두와 저가형 유도항법장치를 채택한 것으로 알려져 있다."
함포,국방과학기술플러스 Vol.256,"또한 이 탄은 고정표적은 물론 이동표적에 대해서도 사격이 가능하며, 사격이후 표적변환이 가능하며, 5인치 함포에서는 100km, 155mm 야포에서는 85km의 사거리를 갖는다고 소개하고 있다."
함포,2021_국방과학기술플러스_253호,미국의 155mm AGS(Advanced Gun System) 함포의 경우는 사격통제 장치와 완전 자동화된 탄/장약 이송/장전 장치를 이용하여 빠른 반응성과 높은 생존성을 가지는 무인 포탑을 채택한 사례이다.
