기사제목,기사내용
한국 방위산업 ‘K-방산’ 수출 날개 달았다,"[국방신문=송국진 기자] 코로나19 상황 속에 개최된 ‘서울 국제 항공우주 및 방위산업 전시회 2021’(서울 ADEX 2021)에서 역대 최대규모의 K-방산 수출 상담이 진행됐다.
24일 서울 ADEX 공동운영본부에 따르면 이번 전시회는 28개국 440개 기업이 참가해 230억 달러(약 27조480억원)의 수주 상담 실적을 기록했다.
또 해외 국방장관, 육군·공군총장, 획득청장 등 40개국에서 222명의 세계 각국 대표단이 방한해 총 709건의 G2B(정부 대 기업) 미팅을 진행했다.
닷새간 행사 기간 중 관람객은 누적 12만명으로 집계됐다. 19∼22일은 산·학·연·군 등 관련 분야 종사자 등이, 23일에는 일반인들이 입장했다.
국내외 참가 기업 간 그리고 바이어와 B2B 미팅을 통해 국내 중소기업의 기술 수준과 인지도 제고에 기여한 것으로 평가됐다.
항공우주 및 방산 관련 세미나는 19일부터 22일까지 나흘간 국회·군·기관 등이 주관해 ‘국제 항공우주 심포지움’, ‘지상군 발전’, ‘항공기 인증기술’, ‘글로벌 방산시장 동향’, ‘전력지원체계’, ‘방산 학술대회’ 등 총 22건이 행사장 내에서 열렸다.
운영본부는 ""항공우주와 방위산업을 미래 먹거리 산업으로 육성하기 위해 정부와 민·군이 합심해 총력을 기울인 결과”라고 평가했다.
서울 ADEX는 1996년 ‘서울 에어쇼’로 출발해 2009년부터는 지상방산 분야까지 통합해 개최하는 국내 최대 항공우주·방산 전시회다. 국내 항공우주와 방위산업 생산제품의 수출 기회 확대와 선진 해외 업체와의 기술교류를 위해 매 홀수년 10월에 개최되고 있다.
올해 행사에서는 수소연료 기반 대형 드론, 로봇다리, 메타버스, 가상현실(VR) 훈련체계 등 4차 산업혁명 기술이 적용된 제품이 최초로 공개되는 등 다양한 미래형 장비와 기술이 소개됐다.
또한 한국형 위성항법체계(KPS)와 도심항공교통(UAM)을 선보였으며, 국내에서 최초로 생산된 국산 경공격기인 FA-50를 비롯해 중고도 무인기(MUAV), K-2 전차, K-9 자주포 등이 전세계 군 관계자와 해외 바이어의 주목을 받았다.
문재인 대통령은 행사 둘째 날인 20일 역대 대통령 중 처음으로 국산 전투기인 FA-50에 탑승하면서 국내 개발 항공기의 안전성과 우수성을 대내외에 직접 홍보했다.
문 대통령은 이날 축사를 통해 “방위산업이 국민의 생명과 재산을 지키는 책임 국방의 중요한 축”이라며, “2030년대 초까지 전투기를 비롯한 다양한 유·무인 항공기 엔진을 독자 개발해 항공 분야 세계 7대 강국의 역량을 구축하겠다”고 말했다.
이어 “인공지능, 드론, 로봇 등 4차 산업혁명 기술과 함께 크게 변화하고 있는 방산시장에서 미래 선도자로서 정부가 함께 나아갈 것”이라며 “항공우주의 꿈, 자주국방의 자부심, 평화를 향한 깊은 열망으로 방위산업을 응원해 주시길 바란다”고 당부했다.
서울 ADEX 공동운영본부는 이번 전시회에서 B2B와 G2B 미팅을 활발히 지원해 국내 기업과 해외 선진 기업 간 글로벌 네트워크 확대를 도모했다.
공동운영본부는 “격년으로 개최되는 서울 ADEX는 평소 일반 국민이 접하기 어려운 전 세계 항공우주와 방산 기술을 한자리에서 볼 기회”라며 “4차 산업 혁명과 연결된 미래 산업으로서 항공우주 및 방산 산업의 성장 가능성과 가치를 국민들에게 확인시켜 드릴 기회가 됐다”고 밝혔다."
"엔피코어, 국제 시큐리티 콘퍼런스(ISEC 2021) 참가","[국방신문=송국진 기자] 엔피코어(대표 한승철)는 오는 21~22일 서울 삼성동 코엑스 그랜드볼룸에서 열리는 ‘제15회 국제 시큐리티 콘퍼런스(ISEC 2021)’에 참가한다.
엔피코어는 아시아 최대 규모의 시큐리티 컨퍼런스인 ISEC 전시회에 매년 참가해 보안 트렌드를 제시해 왔다.
엔피코어는 올해 전시회에서 보안사업의 글로벌 트렌드인 인공지능(AI) 기술을 접목한 대표 솔루션 ‘ZombieZERO APT & EDR’을 소개할 예정이다.
기존의 안티바이러스는 시그니처 기반의 솔루션으로 알려진 악성코드에 대응하는 솔루션이기 때문에 랜섬웨어 및 신변종 악성코드에 완벽한 대응이 어려웠다.
엔피코어는 AI 기반 신변종 악성코드 대응 솔루션 전문기업으로, 기존 안티바이러스가 방어하지 못하는 랜섬웨어 및 신변종 악성코드를 탐지 및 대응한다.
네트워크, 이메일, 망연계 구간 등 악성코드가 유입될 수 있는 다양한 경로에 구축 가능하며, 패턴 및 행위분석 기술을 이용하여 신변종 악성코드를 탐지 및 차단한다.
특히 클라우드 서비스(ZombieZERO SECaaS)는 기업, 단체뿐만 아니라 코로나 발생 이후 가장 취약점이 되어버린 사용자단(개인)에게도 적합한 솔루션이다.
엔피코어는 21일~22일 전시회 기간 A13부스에서 AI 기반 신변종 악성코드 대응 ‘Zombie ZERO’ 솔루션에 대한 문의 및 상담을 진행한다."
"프리뉴-에너자이, 인공지능 드론 서비스 플랫폼 개발 ‘맞손’","[국방신문=송국진 기자] 무인항공기 제조 및 개발 전문기업 프리뉴(대표 이종경)와 엣지 인공지능(Edge AI) 솔루션 개발 전문기업 에너자이(대표 장한힘)가 인공지능 드론 서비스 플랫폼 개발을 위해 손을 잡았다.
20일 프리뉴에 따르면 두 회사는 15일 프리뉴 본사에서 업무협약을 체결하고 프리뉴의 드론 및 드론 플랫폼에 에너자이의 인공지능 기술 기반의 경량화모델(엔진)을 탑재해 산림, 건설, 농업, 물류, 군사 등 다양한 드론 서비스 분야에서 AI 기반 자율비행과 임무 수행 결과 리포팅이 가능한 드론 서비스 플랫폼을 개발키로 했다.
프리뉴는 다양한 무인항공기 기체와 드론 전용 장거리 통신 데이터링크(DRONEiT-DL)를 비롯해 다양한 핵심 부품을 자체적인 국내 기술력으로 제조·개발해 드론 시장의 활성화에 앞장서고 있다. 특히 이번 협약으로 Edge AI 솔루션과 연계한 서비스 플랫폼의 연구 및 개발에 박차를 가할 것으로 기대된다.
에너자이는 Edge AI 솔루션을 통해 인공지능 기술의 모바일 및 IoT Edge Device에서 독립적으로 구현할 수 있는 기술을 보유하고 있다. 자체적으로 보유한 AI 모델 경량화 기술로 지연시간 단축, 운용비용 절감, 개인 프라이버시 보호 등 기존의 한계를 보완하고 제한된 환경에서 고성능 AI 모델 구동으로 다양한 분야에서 적용 가능한 인공지능 서비스를 프리뉴와 함께 선보일 예정이다.
프리뉴 관계자는 “선도적인 기술을 활용한 서비스 플랫폼의 개발을 통해 다양한 산업 전반에 드론이 적용될 수 있을 것으로 기대된다”면서 “출시될 AI 기반 드론 서비스 플랫폼의 고도화와 다양화를 위해 최선을 다할 것”이라고 포부를 밝혔다."
"방사청, 우주기상 예·경보체계 연구개발 착수","[국방신문=김한규 기자] 방위사업청은 우리 군의 안정적 작전 수행 보장을 위해 태양과 우주기상 변화를 관측하고 우주기상을 예·경보할 수 있는 무기체계 개발에 착수했다고 19일 밝혔다.
국내 연구개발로 확보하는 ‘우주기상 예·경보체계’는 우주기상 변화로부터 첨단 무기체계의 안정적인 작전 수행 보장을 위한 예·경보 체계다. 방사청은 10월 15일 ㈜쎄트렉아이와 계약 체결을 통해 본격적으로 사업을 착수하게 되었다.
태양흑점의 폭발 등 우주기상의 변화는 지구의 전리층을 변화시켜 GPS 위치오차를 증가시키고 무선통신을 지연시킴은 물론, 인공위성 궤도 이탈 및 고장을 유발하는 등 군에서 운용하는 첨단 전자기기들에 큰 영향을 끼친다.
우주기상 예·경보체계는 태양광학망원경을 통해 태양활동을 영상 관측하고, 태양전파망원경을 통해 태양 전파를 측정하며, 전리층레이더를 통해 지구의 전리층 상태를 관찰한다.
이렇게 모인 데이터는 우주기상정보처리기를 통해 융합되어, 군 운용 첨단 전자기기의 통신장애·GPS 오차·레이더 간섭 등을 예·경보하게 되는 것이다.
우주기상 예·경보체계가 성공적으로 전력화된다면 우주기상변화에 대비해 고고도 무인기, 정밀 유도무기체계 등의 오작동 방지 및 손상이 되지 않도록 예방하기 위한 정보체계로 활용된다.
또한, 우주전파센터, 한국천문연구소 등 민간 연구소와 정보 공유체계 구축을 통해 민간분야에서도 활용될 수 있을 것으로 기대된다.
방위사업청 정규헌 지휘통제통신사업부장은 “우주기상 예·경보체계는 우주기상의 변화를 정밀하게 관측할 수 있는 우리 군의 첫 번째 무기체계로, 첨단 무기체계의 안정적 운용은 물론 우주영역의 군사적 활용을 확대시킬 수 있을 것으로 기대된다”라고 밝혔다.
우주기상 예·경보체계는 올해 연구개발을 착수하여 2024년 시험평가를 거쳐 군에 전력화할 예정이다."
"STX엔진, ‘서울 ADEX’에서 기술 독립 디젤 엔진 공개","[국방신문=김한규 기자] STX엔진은 10월 19일부터 23일까지 서울공항에서 개최되는 ‘서울 ADEX 2021’에 참가해 K9 자주포 및 K1A2 전차 국내 개발 디젤 엔진을 일반에 처음으로 공개한다고 밝혔다.
STX엔진은 국내 최대 방위 산업용 디젤 엔진 전문 생산 업체라는 위상에 맞춰 대한민국 육군의 주력 전차 K1A2 전차 성능 개량용 디젤 엔진과 수출 명품 무기로 널리 알려진 K9 자주포의 디젤 엔진 등을 전시하고, 여러 해안 위협 요소를 전방위로 감시할 수 있는 GPS-800K 지능형 해안 감시 레이더 국산화 개발 완료 시제품을 함께 전시한다.
세계적인 명품 무기로 손꼽히는 K9 자주포의 심장에 해당하는 고속 디젤 엔진은 소형·경량화한 고출력·고성능 방위 산업용 대표 엔진이다. 현재까지 2500여대 이상 국산화 생산했으며, 국내는 물론 해외 시장에서도 효자 상품으로 알려졌다.
최근 STX엔진은 K9 자주포 수출 제한 해소 및 기술 독립을 위해 산업통상자원부, 방위사업청의 개발 과제를 공모한 K9 자주포 독자 엔진 개발 업체로 최종 선정됐다. 2025년까지 그동안 수입에 의존했던 일부 핵심 부품에 이르기까지 완전 국산화할 계획이다.
STX엔진 이번 전시회에서 K9 자주포 엔진 조립체 외에도 100% 국산화 추진을 위해 현재까지 국산화되지 않은 인젝터, 베어링, 플라이 휠 등을 함께 전시할 계획이다.
이와 함께 K1A2 전차 성능 개량 사업에 발 빠르게 대응하기 위해 독자 개발을 추진하는 고출력 디젤 엔진도 일반에 최초로 공개할 예정이다.
STX엔진은 1976년 12월 엔진 전문 생산 업체로 출범해, 1977년 방위 산업체로 지정된 뒤 축적한 기술과 경험을 바탕으로 세계적 경쟁력을 갖춘 엔진 종합 전문 메이커 및 전자 통신 분야의 글로벌 리더로 성장했다.
STX엔진은 육군 전차 및 자주포·해군 군함·해양경찰 경비함 등 방위 산업용 엔진을 기반으로 ▲대형 컨테이너선·LNG선·유조선 등에 탑재되는 선박용 디젤 엔진 ▲육상용 플랜트 엔진 ▲가스 엔진 ▲철도 차량 엔진 등 각종 산업용 엔진을 생산해 국내는 물론 유럽·아시아·남미 시장에 수출하는 디젤 엔진 종합 전문 메이커로 자리매김했다."
"방사청, 최저 금리에 최대 규모 방산업계 금융지원 팔걷어","[국방신문=김한규 기자] 방위사업청은 방산업계가 코로나19 장기화에 따라 악화된 경영환경을 극복할 수 있도록, 하반기에 역대 최대 규모인 4350억 원의 경영개선 자금융자를 지원할 계획이다.
지난 6월에 1차로 2780억 원의 융자를 지원한 것을 포함하면, 올해 총 7130억 원의 경영자금 융자를 지원하는 것으로 작년(1843억 원) 대비 286% 확대된 규모이다.
방위산업 이차보전사업은 방위산업의 육성과 경영지원을 위해 방위사업청과 협약을 체결한 시중 금융기관이 방산기업에 장기, 저리로 경영자금 융자를 제공하고 시중금리와 정책금리의 차이로 인한 이자를 정부가 지원하는 사업이다.
이번 방산 경영개선 자금 융자 지원대상은 방위사업에 참여하는 기업이며, 방산기업이 연구개발, 부품 국산화, 방산수출, 시설투자, 기업 운영 등에 필요한 자금을 방위사업청과 협약을 체결한 금융기관(NH농협)에서 대출받으면 방위사업청이 최장 10년간 이자의 최대 87.5%(중소기업 대상, 대·중견기업 최대 50%)를 부담한다.
현재 기업 대출금리(변동)를 고려하며, 중소기업은 약 0.3~0.4%, 중견·대기업은 약 1.3%~1.5%의 저금리로 융자가 가능하다.
또한, 최근 3년간 군수품 매출 비중이 50% 이상인 중소기업은 공고월 직전 6개월(2021.4.∼2021.9.) 평균 고용인원이 직전 3개월 평균 고용인원(2021.1.∼3.)보다 1명 이상이라도 증가한 경우 인당 0.02%(최대 0.1%) 할인된 금리를 적용받을 수 있으므로 최대 0.2%대(변동금리, 2021년 3분기 기준) 융자도 가능해진다.
추가로, 코로나19 등으로 인해 유휴시설이 발생한 방산기업이 매출 감소를 증빙할 수 있는 서류를 제출하면, 기업이 처한 상황을 극복하는데 필요한 자금도 지원받을 수 있다.
융자 신청은 10월 19일부터 11월 2일까지이며, 자세한 사항은 방위사업청 누리집 공지사항(www.dapa.go.kr)을 참조하거나 방산정책과(02-2079-6412, 6413)로 문의하면 상세히 안내받을 수 있다.
아울러, 2021년 협약 금융기관인 NH농협은행의 전국 지점에서도 사전 대출 상담도 받을 수 있다.
방위사업청 김은성 방위산업진흥국장은 “코로나19가 장기화되는 상황을 고려하여 업체의 자금난 해소와 방위산업 육성을 위해 최대 규모의 융자사업을 추진한다”며, “기업의 안정적인 경영활동을 지원하여 방위산업이 국가경제에 새로운 성장동력이 될 수 있는 여건을 만들어 나가겠다”고 밝혔다."
"국기연, ‘서울 ADEX’ 활용 중소 방산기업 해외판로 개척 앞장","[국방신문=송국진 기자] 국방기술진흥연구소가 19일부터 5일 일정으로 경기도 성남 서울공항에서 열리고 있는 ‘서울 국제 항공우주 및 방위산업 전시회(서울 ADEX 2021)’ 행사를 활용해 코로나19 팬데믹이 지속되는 상황에서 제품 판로 개척에 어려움을 겪고 있는 중소벤처 방산기업들에게 홍보 기회를 제공하기 위해 팔을 걷어부쳤다.
국기연은 행사장 내에 국내 중소 방산 기업들의 우수 제품을 소개하는 상설 전시 부스를 개설, 운영하면서 각종 부대행사를 열어 실물 제품 전시 및 디지털 정보 전시를 병행하여 총 27개 국내 우수 중소기업 제품들을 소개하고 있다.
국기연은 특히 이번 행사장에서 해외 바이어와 기업 관계자들이 원하는 제품과 관련 기업 정보를 손쉽게 얻을 수 있도록 국기연 부스 내에 키오스크(kiosk)의 터치형 스크린을 설치, 운영하고 있다.
국기연은 부스에서 코로나19로 입국이 어려운 해외기업 구매 담당자와 국내 기업 간 실시간 온라인 1대1 상담을 진행할 수 있도록 행사 기간 내내 상시 화상상담 서비스도 제공한다.
국기연은 아울러 ‘방산지원사업 수출유망품목 100선’, ‘2021~2035 핵심기술기획서’, ‘DTiMS(국방 과학기술과 무기 체계 기술 정보에 대한 통합 정보 서비스 체계) 열린 정보마당 소개 및 활용 가이드북’, ‘전력지원체계 수출유망 품목 소개’ 등 자체 발행한 각종 자료도 배포해 해외 바이어와 국내 기업 관계자들에게 필요한 최신 방위산업 관련 정보를 제공하고 있다.
국기연은 또 가상현실(VR)을 기반으로 특수고글을 착용하고 바람, 진동, 음향을 느끼며 전투함 위에서 해군 작전 수행을 현실감 있게 경험할 수 있는 시뮬레이터, 실감 체험형 가상 사격 체험 훈련에 사용되고 있는 사격 시뮬레이터 프로그램 등 체험형 전시 공간도 마련해 관심과 흥미를 높이고 있다.
국기연은 영국 방위보안청의 클리포드(F. R. Clifford) 차장을 초대, ‘글로벌 방산시장 동향 발표회 및 바이어 매칭 프로그램 소개회와 같은 부대 행사도 마련했다.
국기연은 이 행사를 통해 국내 기업의 해외진출 가능 분야에 대한 정보와 주요 방산 수출 국가별 수출전략을 소개했다.
국기연은 이와 함께 행사 둘째 날인 20일 방위사업청 후원으로 ‘미래 우주 전장 및 기술발전 세미나’를 개최할 예정이다.
이 세미나에서는 우주를 포함한 미래 작전환경과 이에 필요한 미래 무기체계 소요가 제시되며, 이를 확보하기 위한 핵심기술 현황 및 발전방안이 발표된다.
행사 셋째 날인 21일에는 ‘국방전력지원체계 연구개발(R&D) 발전 세미나’를 열어 ‘4차 산업혁명 신기술 활용을 위한 전력지원체계 소요기획 및 정책방향’ 등 미래 신기술을 접목한 전력지원체계 발전방안을 소개할 계획이다.
임영일 국기연 소장은 “이번 행사를 통해 국내 강소 기업들이 첨단 국방과학기술 정보를 공유하고, 기업 경쟁력 강화를 통해 세계 방위산업 시장 진출과 수출실적 확대를 이끄는 계기가 되길 바란다”고 말했다.
한편, 이번 행사 기간 중 국내 중소기업들의 글로벌 방산기업 부품 공급망에 진입하고, 부품 수출 기회를 넓히기 위해 방위사업청 주최로 ‘글로벌 부품 공급망 구축을 위한 업무협의회’도 열린다."
"신기술 무기,  방산 제품 총출동  ‘서울 ADEX2021’ 19일 개막","[국방신문=윤석진 기자] 국내 최대 항공우주·방위산업 분야 전문 종합 무역 전시회인 ‘서울 국제 항공우주 및 방위산업 전시회 2021(서울 ADEX2021)’가 19일 경기도 성남시 서울공항에서 막을 올렸다.
ADEX 공동운영본부는 이번 전시회가 28개국에서 440개 업체가 참가하고, 해외 각국 국방장관과 참모총장, 획득청장을 포함한 관련 고위관료, 군 장성 등 45개국 300여명이 방한하는 등 역대 최대 규모로 23일까지 개최한다고 밝혔다.
서울 ADEX는 국내 항공우주, 방위산업 생산 제품의 수출 기회 확대와 선진 해외 업체와의 기술교류를 목적으로 격년제로 홀수년 10월에 열리고 있다.
이 전시회는 1996년 항공우주 분야 ‘서울 에어쇼’로 시작됐으며, 2009년부터는 지상 방산 분야까지 통합돼 항공우주·방위산업 분야에서 한국을 대표하는 행사가 됐다.
이번 행사 실내 전시관에서는 수소 연료 대형 드론, 우주 개발 관련 장비, 유‧ 무인 복합체계 장비, VR(가상현실) 훈련체계, 소형 레이저 무기, 다목적 무인차량 등 개발 중인 각종 첨단 신기술 방산 제품이 전시된다.
군수(軍需) 뿐 아니리 민간 분야에서 필요로 하는 민수(民需) 제품도 전시되는 이번 행사에서는 신개념 교통 시스템인 UAM(도심형 항공 모빌리티)과 KPS(한국형 위성항법 시스템) 등이 소개된다.
국방부는 이번 행사에서 국내에서 생산하고 군에서 운용하는 공중·지상·해양 무인체계 72종으로 별도 홍보관을 운영한다.
야외 전시장에서는 국산 수출 주력 제품인 FA-50, KT-1 등 37종 45대의 항공기를 비롯해 K-2 전차, K-9 자주포 등 31종 34대의 지상 장비가 등장했다.
이번 행사는 코로나19로 인해 관람 인원을 제한하는데, 19일부터 22일까지는 산·학·연·군 등 관련 분야 임직원이, 23일에는 일반인만 입장할 수 있다.
모든 방문객은 백신 접종 완료 후 14일이 지났거나 72시간 내 PCR 음성 확인서가 있어야 하며, 전시장 입장 때는 QR코드 인증, 2번의 체온 측정을 하게 된다.
이종호 서울ADEX2021 공동운영본부장은 “서울ADEX 2021을 안전하게 개최해 우리나라의 코로나19 관리 우수성을 보여줄 예정”이라며 “이번 전시로 세계 시장에서 우리나라 산업이 한 단계 도약할 계기가 될 것”이라고 말했다."
"인도 해군, 잠수함 입찰...대우조선해양 등 4사 치열한 경쟁","[국방신문=서욱 전문기자] 인도 해군의 차세대 P-75I 잠수함 제작 수주를 위해 대우조선해양 등 국내외 4개 업체가 경쟁하는 것으로 알려졌다.
미 해군 네이벌뉴스 14일자 보도에 의하면 4개의 경쟁사는 프랑스의 바라쿠다(Barracuda), 스페인의 S-80-Plus, 한국 대우조선해양의 DSME-3000, 러시아 아무르사이다. 독일도 처음에는 경쟁에 참여했지만 최근 입찰을 철회했다.
이 회사들은 현재 인도 정부에 잠수함 디자인 제안서를 제출했다. 어느 업체가 선정되든 이 잠수함 건조는 모두 인도 현지에서 진행될 것으로 전해졌다. 인도는 이번 입찰에서 인도 해군 요구사항 뿐만 아니라 정치적, 산업적 사항도 고려하고 있다.
인도 해군의 입찰 요구조건과 관련해 구체적인 사항은 공유되지 않고 있다. 다만 잠수함에 대한 현재의 기술적 능력, 투자 및 위협에 초점을 맞춘 보고서와 분석에 따르면 두 가지가 확실해 보인다.
첫 번째는 인도 해군의 잠수함 프로젝트 P-75I는 공기불요추진체계(AIP)를 갖추어야 한다. 두 번째는 잠수함에서 브라흐모스 대함 미사일(Brahmos anti-ship missiles)을 발사하기 위해 수직발사시스템(VLS)를 선호한다는 것이다.
종합하면 P-75I는 현재 인도 해군의 재래식 잠수함보다 훨씬 더 규모가 커야 할 것으로 보인다.
이에 따라 AIP와 VLS 장비 설치는 입찰사 모두에게 도전적이고 어려운 기술을 필요로 한다. 또한 모든 주요 잠수함 프로젝트와 마찬가지로, 거래는 절충교역 무역형태로 이루어질 전망이다.
자체 방위산업을 육성해온 인도는 P-75I를 위하여 자체 연료전지 AIP를 개발했다. 이것은 프랑스제 칼바리(Kalvari) 클래스(스코르펜 타입)에 맞춰 개발한 것으로, 인도의 자주 국방 산업의 관점에서 P-75I를 위한 적절한 선택이다.
수직 발사시스템(VLS)에 대해서는 상대적으로 작은 잠수함들이기 때문에 VLS 장비 설치는 모든 경쟁자들에게 도전이 될 것이다. 계약조건에서 VLS이 얼마나 중요한 변수가 될지 또는 대체 미사일 옵션이 고려될지는 불확실하다.
네이벌뉴스가 분석한 한국 대우해양조선과 프랑스 바라쿠다의 잠수함 특징을 알아본다.
◇ 프랑스의 바라쿠다(Barracuda)급 잠수함
프랑스는 바라쿠다(Barracuda)급 핵 잠수함의 디젤 전기 버전을 제공하는 것으로 알려져 있다. 핵은 이미 프랑스 해군(Marine Nationale)에서 서프렌급으로 운용되고 있다. 인도에서 현재 건설되고 있는 칼바리 클래스와 같은 계통이기 때문에 강력한 경쟁자로 보여진다.
디젤-전기 버전은 SMX-3.0 설계에서 일부 특징을 찾을 수 있다.  여기에는 (서프렌에 장착된 선체와 반대로) 돛에 장착된 하이드로플레인과 공기불요추진체계(AIP)가 포함될 수 있다. 프랑스의 AIP 시스템은 수소 탑재의 필요성을 없애기 위해 디젤 리폼기와 함께 연료 전지를 사용한다. 그것은 수년 동안 육지 테스트를 받아왔다.
바라쿠다의 가장 큰 디자인 장점은 바로 크기로 보인다. 약 8.5m의 선체 지름이 경쟁사들 중 가장 크다. 이것은 수직발사시스템(VLS)을 장착하는 것을 상대적으로 덜 어렵게 만들 것이다.
바라쿠다급 잠수함에서는 거대한 브라흐모스 대함 미사일이나 지상 공격 크루즈 미사일을 발사할 수도 있다.
프랑스 디자인의 다른 주목할 만한 특징으로는 X-폼 방향타와 펌프 제트기가 포함될 가능성이 있다. 후자의 특징은 인도의 핵잠수함 프로젝트에서도 관심을 가질 수 있다.
◇ 대우조선해양의 한국형 잠수함 DSME-3000
한국은 최근 인도네시아에 잠수함을 팔면서 세계시장에서 잠수함 수출 경쟁에 뛰어들었다. 한국은 자체 개발한 장보고급 한국형 잠수함(KSS-III) 설계의 수출 버전을 제안하고 있는 것으로 파악되고 있다. 이 잠수함은 비교적 큰 재래식 비핵잠수함으로 프랑스 바라쿠다에 버금가는 크기이다.
이 유형은 독일 기반의 연료전지 공기불요추진체계(AIP)와 함께 제공된다. 기본적으로 AIP 전용 선체 부분이 있는 레이아웃으로 인도산 AIP 대체품으로 바꾸는 것이 그리 어렵지 않을 것임을 시사한다.
그리고 한국은 잠수함에 리튬 기반 배터리 기술을 탑재하기 위한 경쟁에서 대부분의 나라들을 앞서고 있다. 이것은 잠수함이 배터리로 달릴 때 잠항시간을 연장시킬 수 있다는 것을 의미한다. 당연히 이것은 인도 해군에게는 매력적일 수 있고, 심지어 AIP의 중요성을 감소시킬 수도 있다.
차별화되는 특징은 이미 6-10개의 라운드 수직발사시스템(VLS)이 제공된다는 것이다. 한국군에서는 현무 4-4 미사일이 탑재될 것으로 예상되는데, 현무 4-4 미사일은 인도의 K-15 사가리카미사일과 대등하지만 핵 선택권은 없다. 현재 정확한 치수와 무게는 구할 수 없지만, 이것은 적어도 비슷한 크기의 브라흐모스 미사일을 수용할 수 있다는 것을 암시한다.
3000톤급의 비교적 작은 잠수함에 VLS를 탑재하는 것은 일반적인 어뢰실에 있는 무기 슬롯의 감소와 같은 약간의 절충이 필요할 것이다. 그러나 전반적으로 한국의 디자인은 균형잡히고 매우 유능한 것으로 보인다."
방위산업 전시회 '서울 아덱스(ADEX) 21'...19일~23일까지 열려,"[국방신문=서욱 전문기자] 국내 최대 항공우주 및 방위산업 전시회 '서울 아덱스(ADEX) 2021'이 오는 19일부터 23일까지 경기도 성남 서울공항에서 5일간의 일정으로 개최된다.
지난 1996년 서울 에어쇼로 출발한 서울 ADEX는 2009년부터 지상방산 분야까지 통합해 2년에 한번 10월에 열린다. 올해 전시회는 '글로벌 국가로 도약하는 항공우주 및 방위산업'이라는 주제로 열린다.
이번 전시회에는 28개국에서 440개사가 참가하며 역대 최대 규모이다.
한국항공우주산업(KAI)을 포함해 LIG넥스원, 현대로템, 한화그룹 등 국내 주요 방산업체들은 주력 제품을 전시하고 수출을 위해 총력전을 펼칠 전망이다.
실내 전시관에서는 수소 연료 대형 드론과 우주개발 관련 장비, 유무인 복합체계 장비, VR 훈련체계, 소형 레이저 무기, 다목적 무인차량 등 신기술 제품이 대거 선보인다.
민수분야에서는 신개념 교통 시스템인 UAM(도심형 항공 모빌리티)과 KPS(한국형 위성항법 시스템)가 소개된다.
야외 전시장에는 FA-50과 KT-1 등 37종 45대의 항공기를 비롯해 K-2 전차, K-9 자주포 등 31종 34대의 지상장비가 전시될 예정이다.
최대 관심사는 K-방산의 수출성사 여부다. 2019년의 210억달러 수주를 넘어서겠다는 계획이다. K-방산 제품력을 기반으로 지난해 마무리 짓지 못한 대규모 계약이 잇따라 이뤄질 것이란 기대가 나온다.
지난 ADEX 2019에는 전 세계 31개국 430여개 기업이 참가했다. 특히 57개국에서 바이어 9만여명이 방문해 구매상담, 정보수집, 신규거래선 확보 활동 등을 펼쳤다. 해외 군 대표와 참여업체간 미팅은 1000여건 이상 성사된 것으로 알려졌다."
