용어,용례
M3 곡사포,[]
북한 탄도 미사일,[]
T-34 전차,[]
함포,"['이전에는 항공기, 공병장비 위주로 양도하였으나 2013년 이후 초계함, 상륙장갑차, 함포 및 함포탄 등 다양한 군수품의 양도가 이루어지고 있다.', '해상에서는 완충구역 내 남북 모두 함포·해안포의 포구·포신 덮개를 설치하고 포문을 폐쇄하였으며, 함포·해안포의 실사격과 해상기동훈련을 중단하였다.', '□기타방산협력관련협정체결현황구분과학자/기술자료품질보증협정(18개국)가격정보교환협정(5개국)제공협정(4개국)미국, 영국, 프랑스, 스페인, 스위스,국가미국, 프랑스, 영국,캐나다, 이태리, 네덜란드, 벨기에, 미국, 영국, 이태리, 이스라엘덴마크, 호주, 필리핀, 독일, 이스라엘, 독일, 네덜란드터키, 인니, 뉴질랜드, 그리스부록172008 국방백서297부록【부록17】현역병복무기간변천및보충역복무유형별현황□현역병복무기간변천연도복무기간(개월)복무기간조정사유육군/해병해군공군1952 이전전역제도없음6·25전쟁발발로병역법의정상적시행불가19533636366·25전쟁후장기복무자전역조치1959333636징집병병역부담완화1962303636징집병병역부담완화19683639391.21 사태로복무기간연장1977333939잉여자원해소및산업기술인력지원1979333535해ㆍ공군병획득난해소1984303535징집병병역부담완화1990303235해군병획득난해소1993263030방위병제도폐지로인한잉여자원해소1994262830해군병획득난해소2003242628병병역부담완화2004242627공군병획득난해소2008~201624~1826~2027~21병력감축에따른잉여자원해소를통해병역부담경감※ 복무기간은병역법상의복무기간규정및조정절차에따라결정되어운영된기간임부록172008 국방백서298부록□보충역복무유형별현황구분공익근무요원전문연구/공중보건의징병전담의국제협력의공익법무관공익수의사행정관서요원예술체육요원국제협력요원산업기능요원목적시행년도편입대상복지시설등공익목적에필요한봉사업무지원국위선양및개인특기계발기회부여개도국에경제, 사회발전등지원199519732001197319791999199519952007현역또는보충역현역또는보충역현역또는보충역의사, 치과의사, 한의사의사,치과의사의사, 치과의사, 한의사변호사수의사보충역복무관리신분공익근무요원공익근무요원공익근무요원민간인(근로계약)계약직공무원계약직공무원계약직공무원계약직공무원계약직공무원근무부서병무청장이정하는분야병무청장이정하는분야아시아, 아프리카등저개발국가의정부기관지정업체읍면보건지소및정부지원민간병원지방병무청징병검사장아시아,아프리카등저개발국가의의료시설법률구조공단지부(출장소) 및지방검찰청시·군·구,가축위생시험소, 국립수의과학검역원복무기간26개월(군사훈련포함)34개월(군사훈련포함)30개월(군사훈련포함)전문: 36개월산업: 34개월(현역),26개월(보충역)(군사훈련포함)36개월(군사훈련기간제외)36개월(군사훈련기간제외)36개월(군사훈련기간제외)36개월(군사훈련기간제외)36개월(군사훈련기간제외)군사훈련기간4주(지방청별)4주(지방청별)4주(서울청주관)4주(지방청별)4주(육군훈련소)4주(육군훈련소)4주(육군훈련소)4주(육군훈련소)4주(육군훈련소)관련법률병역법병역법병역법및국제협력요원에관한법률병역법농어촌등보건의료를위한특별조치법병역법국제협력요원에관한법률공익법무관에관한법률공익수의사에관한법률소속기관의장문화체육관광부장관외교통상부장관(한국국제협력단)지정업체의장보건복지가족부장관병무청장외교통상부장관(한국국제협력단)법무부장관농림수산식품부장관학문과기술의연구기회부여및국가산업의육성발전농어촌등의료취약지역지원징병신체검사업무수행저개발국의료지원으로국제협력강화법률구조취약지역및국가소송사무지원가축방역, 동물검역및축산물위생업무지원편입절차지방병무청에서소집순위에의거의무부과예술체육분야복무를원하는사람은문광부장관이추천병무청장이정하는분야복무외통부에서현역또는보충역중지원에의한대상자선발, 추천후병무청에서편입편입희망자는지정업체의장을통해지방병무청에편입원서제출,지방병무청장이검토후편입여부결정의무사관후보생중공중보건의사분류자와공중보건의사지원자를매년2월에편입의무사관후보생중징병전담의사분류자를매년2월에편입의무사관후보생중외교통상부장관이선발한사람을매년2월에편입법무사관후보생중군법무장교선발후잔류인원과지원자를매년2월에편입수의사관후보생중공익수의사분류자와공익수의사지원자를매년2월에편입부록182008 국방백서299부록【부록18】연합·합동연습및훈련현황□한미연합연습□한국군합동연습및훈련연습명형태목적훈련내용을지프리덤가디언(UFG)키리졸브(KR)/독수리(FE) 연습지휘소연습및야외기동훈련•전시작전통제권전환기간연합방위태세유지를위한작전계획수행절차숙달•미증원전력한반도전개보장및한국군전쟁지속능력유지•위기관리절차연습•전시전환절차연습•작전계획시행절차연습•연합작전지역내수용, 대기,전방이동및통합절차숙달•주요지휘관세미나/합동전술토의군사지휘소및정부연습•전시작전통제권전환기간한국합참및미국한국사령부전구작전수행능력배양•충무계획및작전계획수행절차숙달•위기관리절차연습•전시전환절차연습•작전계획시행절차연습•주요지휘관세미나/합동전술토의연습명형태목적연습및훈련내용태극연습호국훈련전구급대부대합동훈련•합동전력발휘및작전사급합동작전수행능력함양•군단쌍방훈련/작전사간합동전력지원하동시훈련•공·지·해합동작전체계검증•제대별통합전투수행숙달전구급지휘소연습•합동참모본부주도의전구위기관리및작전수행능력향상•위기관리/전시전환연습,워게임모의에의한방어연습•합동참모본부개편안과역할및기능진단•작전사와연계된실시간작전수행체계정립부록182008 국방백서300부록□기타주요연합훈련훈련명시기참가국훈련내용연합대테러훈련연1회한국, 미국, 러시아환태평양훈련(RIMPAC)격년제(짝수년6~8월)한국, 미국, 호주, 칠레, 영국, 일본, 캐나다, 페루등한·일수색및구조훈련격년제(홀수년도)한국, 일본서태평양잠수함탈출및구조전훈련(Pacific Reach)3년제(짝수년도)한국, 미국, 호주,일본, 싱가포르등연합상륙전훈련연1회(독수리연습시)한국, 미국서태평양기뢰대항전훈련(MCMEX)격년제(짝수년도)한국, 일본, 호주,싱가포르, 인니,말련, 태국등한미잠수함전훈련(GUAMEX)격년제(홀수년도)한국, 미국연합공격편대군훈련(CLFE)연6회한국, 미국태평양공군연합전술훈련(RED FLAG-Alaska)격년제한국, 일본, 싱가포르, 태국, 호주, 영국, 프랑스등•체력단련, 장애물극복•레펠·등반훈련•대테러특공사격•내부소탕훈련(건물, 열차, 항공기등)•사제폭발물처리•종합모의훈련•해상공방전•해상교통로보호•해상차단및항공강습•함포사격훈련•유도탄및어뢰발사훈련•기본전술훈련•조난항공기, 선박수색및구조훈련•잠수함승조원탈출및구조훈련•기뢰대항전훈련(기뢰탐색/소해)•EOD 훈련•의무훈련•잠수함대잠수함훈련•CSOF/SLOC 보호훈련•공격기뢰부설•공격편대군전력중고도침투훈련•침투간생존및임무수행능력향상•유사목표를임의선정, 평시공격절차숙달•저고도침투및화물투하임무•비포장활주로전술강습이·착륙훈련•조종사및승무원의실질적인공중침투능력향상•탑재/선견부대작전•입체적상륙돌격•해상기동, 해상화력지원훈련•육상작전(해안용교두보확보/방어)•통합화력운용부록192008 국방백서301부록장관국립서울현충원국방홍보원국방부전산정보관리소국방정보본부국방부근무지원단고등군사법원국방부검찰단국방부군비검증단국방시설본부국방부조사본부국군심리전단국방대학교국군체육부대국군기무사령부국군수송사령부국군지휘통신사령부국군화생방방호사령부국군의무사령부국방부유해발굴감식단계룡대근무지원단국방부군사편찬연구소국군복지단차관운영지원과기획조정실계획예산관정보화기획관기획조정관육군해군해병대공군병무청방위사업청국제정책관국방교육정책관정책기획관동원기획관보건복지관인사기획관군사시설기획관전력정책관군수관리관군구조개혁관국방운영개혁관개혁총괄조정담당관전력자원관리실인사복지실국방정책실국방개혁실합참정보본부정보본부작전본부전략기획본부인사군수본부지휘통신참모부민사심리전참모부전비태세검열실비서실공보실법무실【부록19 】국방기구도군사보좌관정책보좌관대변인감사관법무관리관부록2008 국방백서302부록부록20전문위원수석전문위원2급손충덕1급기노진입법조사관3급박용수4급이성기4급김남곤대구동구을: 재선1958년생, 서울대경제학과, 미위스콘신대, 여의도연구소장, 국방위간사(현)의원회관: 434호전화: 784-5705788-2919FAX : 788-3434성명한나라당학력및경력연락처劉承旼서울성동구을: 초선1971년생, 서울대법대, 연세대경영대학원, 서울특별시고문변호사, 한나라당성동을지구당위원장의원회관: 217호전화: 784-3873788-2491FAX : 788-3217김동성부산남구을: 4선1951년생, 한양대경영학과, 민추협수석부회장,  대통령사정비서관,한나라당원내수석부총무의원회관: 420호전화: 784-5274788-2821FAX :788-3420金武星경기화성시갑: 초선1956년생, 육사36기,한나라당경기도당통일안보위원장,뉴라이트경기안보연합대외협력특보한나라당제2정조위부위원장(현)의원회관: 816호전화: 784-2062788-2151FAX :788-3816金成會경기포천/연천군: 초선1967년생, 고대대학원정치외교학,YTN기자, 여의도연구소정책자문위원,한나라당정책기획위원의원회관: 206호전화: 784-1521788-2014FAX :788-3206김영우비례대표: 초선1947년생, 동아대행정학과,육군제15대여군단장, 경기도의회의원,재향여성군인협의회회장의원회관: 304호전화: 784-5287788-2874FAX :788-3304金玉伊비례대표: 초선1948년생, 육사27기,6사단장, 7군단장, 합참작전본부장,한미연합사부사령관,육군참모총장, 국방부장관의원회관: 534호전화: 784-5277788-2835FAX :788-3534김장수서울성북구을: 초선1952년생, 고려대사회학과, 조선일보편집국부국장·논설위원,17대대통령인수위자문위원의원회관: 310호전화: 784-2182788-2304FAX :788-3310김효재경기성남분당구을: 3선1956년생, 서울대경영학과,  행정고시(24회), 대통령경제비서관,재경부경제정책국산업경제과장,한나라당정책위의장(현)의원회관: 301호전화: 784-1264788-2007FAX :788-3301임태희경남진해시: 3선1952년생, 건국대정치학과,경남도의원, 예결특위간사,당원내부총무, 당사무부총장,경남도당위원장의원회관: 421호전화: 784-1364788-2721FAX :788-3502성명위원장학력및경력연락처金鶴松서울동대문구을: 4선1954년생, 고려대법학과,서울지청강력부검사, 한나라당전략기획위원장,한나라당원내대표(현)의원회관: 707호전화: 784-5271788-2115FAX :788-3707성명민주당한나라당선진창조친박연대학력및경력연락처홍준표비례대표: 초선1961년생,성균관대무역대학원수료,새천년민주당조직국장, 민주당조직위원장겸인재영입위원,17대선대위본부장, 국방위간사(현)의원회관: 705호전화: 784-4181788-2601FAX: 788-3705안규백경기의정부시갑: 4선1945년생, 서울대법학과, 국정원기조실장, 새천년민주당최고위원,참여정부대통령비서실장,국회부의장(현)의원회관: 323호전화: 784-5725788-2535 FAX :788-3323문희상비례대표: 초선1945년생, 육사25기, 25사단장,육군감찰감, 6군단장,국방대학교총장, 3군사령관,한북대학교대외부총장의원회관: 743호전화: 784-2972788-2421FAX : 788-3743서종표비례대표: 초선1960년생, 단국대무역경제학부,산자부정책평가위원,단국대무역학과교수,중소기업중앙회정책자문위원의원회관: 307호전화: 784-1730788-2108FAX :788-3307정국교충남부여/청양군: 초선1937년생, 육사15기, 9공수특전여단장, 21사단장, 3군단장, 1군사령관, 육군참모총장, 체육청소년부장관, 국방위간사(현)의원회관: 714호전화: 784-3279788-2181FAX : 788-3714이진삼충남공주/연기군: 2선1941년생, 서울대경제학과,대통령비서실행정수석비서관,충남도지사, 자유선진당대표(현)의원회관: 842호전화: 784-2070 788-2980 FAX :788-3842沈大平비례대표: 6선1943년생, 중앙대정치외교학과,조선일보기자, 제1정무장관,한나라당원내총무·당대표친박연대대표(현)의원회관: 522호전화: 784-2180788-2302 FAX :788-3522서청원□국방위원회구성(2008년11월)【부록20】국회국방위원회구성및주요활동부록202008 국방백서303부록구분국방위회의주요내용제265회임시국회(2007.2.5.~3.5.)2007.2.13.']"
PPSh-41 기관단총,[]
MiG-29 펄크럼,[]
M1 카빈 소총,[]
F-117A 나이트호크,[]
M113 보병수송장갑차,[]
V-22 오스프리,[]
ZB vz. 26 경기관총,[]
장사정포,"['전장 기능별 무기체계주요사업2021년 착수 신규사업전장인식 / 지휘통제• 중고도정찰용무인항공기(R&D)• 군단정찰용무인항공기-II(R&D)• 탄도탄작전통제소 성능개량(R&D)• 무인지상감시센서(R&D)• 해안감시레이더-II(R&D)• MCRC 성능개량• 전투원용무전기지상전력• 차륜형장갑차• 230mm급다련장 • K-2전차• K200계열 장갑차 성능개량• 12.7mm저격용소총• 경기관총-II해상전력• 광개토-Ⅲ Batch-Ⅱ• 장보고-Ⅲ Batch-Ⅰ• 해상초계기-Ⅱ• 근접방어무기체계-Ⅱ• 원거리탐지용음향센서• 해상작전위성통신체계공중전력• TA-50 Block-II• 항공기항재밍GPS• 한국형전투기(R&D) • KUH-1 비행훈련시뮬레이터(R&D)• 창공모델 성능개량(R&D)방호전력• 방공지휘통제경보체계• 30mm차륜형대공포• L-SAM(R&D)• 지뢰탐지기-II• 기동저지탄(R&D)• 적외선차폐연막통[도표 4-9] 2021년 주요 전력증강 사업전장 기능별 무기체계주요사업2022년 착수 신규사업전장인식 / 지휘통제·통신• 다출처영상융합체계(R&D)• 우주기상예·경보체계• 탄도탄작전통제소 성능개량(R&D)• 함정용전자전장비-II(R&D)• 연합해상전술데이터링크(Link-22)기동 / 화력• K-2전차• K9자주포 성능개량 • K1E1전차 성능개량 • 전술교량-II Block-I(R&D) • 대포병탐지레이더-III(R&D)• 차륜형지휘소용차량해상전력• 한국형구축함(KDDX)• 울산급 Batch-Ⅱ/Ⅲ• 장보고-III Batch-II• 대형수송함 1번함 성능개량• 소해함-Ⅱ공중전력• 한국형전투기(R&D) • 공중급유기• F-15K 성능개량 • 대형수송기 2차• F-35A 성능개량• C-130H 성능개량방호전력• L-SAM(R&D)• 레이저대공무기 Block-I(R&D)• PAC-III 유도탄• 장사정포요격체계(R&D)• 패트리어트 성능개량 2차[도표 4-10] 2022년 주요 전력증강 사업2022년 주요 전력증강 사업제4장  국방혁신 4.0을 통한 첨단과학기술군 육성     133제4장2023~2027 전력증강 계획국방부는 전방위 안보위협에 대비하기 위해 2023년부터 2027년까지 107.4조원을 투자하여 북한 핵·WMD 위협에 대응하기 위한 한국형 3축체계 핵심전력을 확충하고, 첨단전력 중심의 전력구조로 개편을 추진하고 있다.', '방호전력은 핵\u2006・\u2006미사일, 장사정포 및 다양한 공중위협에 대한 탐지\u2006・\u2006추적\u2006・\u2006요격능력을 보강하고, 전자기 펄스(EMP3)) 및 화생방 방호 능력을 점진적으로 보강할 것이다.', '공군작전사령부는 항공작전을 전반적으로 통제하며, 제공작전11), 항공차단작전12), 근접항공지원작전13)을 비롯하여 핵·미사일·장사정포 위협에 효과적으로 대응하기 위한 작전을 수행한다.', '이와 동시에 개전 초부터 북한의 장사정포와 미사일 등 핵심전력을 정밀타격하여 수도권의 안전을 확보하고 최단시간 내에 전쟁 주도권을 장악할 것이다.', '[ 도표 3-4 ]  공군 주요 조직과 보유 전력\x08공군작전사령부는 전반적인 항공작전을 지휘하고, 제공작전7), 항공차단작전8), 근접항공지원작전9) 을 비롯하여 핵\u2006·\u2006미사일\u2006·\u2006장사정포 위협에 효과적으로 대응하기 위한 작전을 수행한다.', '북한은 정권세습 이후에도 군사분계선(MDL), 북방한계선(NLL) 등 접경지역에서의 군사행동을 통해 주도권 장악을 시도하는 한편 선별적인 재래식 무기 성능 개량과 함께 핵\u2006・\u2006WMD28), 미사일, 장사정포, 잠수함, 특수전 부대, 사이버 부대 등 비대칭 전력을 증강시켜 왔다.', '북한은 대량살상무기, 특수부대, 장사정포, 수중전력, 사이버전 능력을 포함한 비대칭 전력의 집중적인 증강과 재래식 전력의 선별적인 증강을 추구하고 있다.', '지상전력 분야는 북핵·미사일 및 장사정포 위협에 대비하여 고위력·초정밀 지대제3절우리 군은 전방위 안보위협 대비 튼튼한 국방태세 확립을 위해 합동성에 기초한 전력증강을 추진하고 있으며 특히 북한 핵·WMD 위협을 포함한 전방위 위협에 대응하는 핵심전력을 확충하고 있다.', '또한 최근 북한의 장사정포 및 미사일 위협 등 북한의 현존위협에 대응하는 전력들을 보강하였고, 미래의 다양한 위협에 능동적으로 대응할 수 있는 핵심전력을 구비하는데 재원을 집중적으로 배분하였다.', '한미는 심화된 북한의 장사정포 위협에 보다 효과적으로 대응하기 위해 주한미군의 대화력전 수행전력을 한강 이북 위치에 잔류시키기로 결정하였다.', '방호전력 분야는 탄도탄 및 항공기 방어 능력과 장사정포 요격능력 등 복합·다층 방어능력을 구비하고, 전자기펄스(EMP) 및 화생방 방호 능력을 점진적으로 향상시키며, 전쟁 초기 생존성 보장을 위한 개인·시설·장비의 방호 능력을 보강해 나갈 것이다2021년 국방비 52조 8,401억 원 중 방위력개선비는 2020년보다 1.9% 증가한 16조 9,964억 원이었으며, 2021년에 추진한 주요 전력증강 사업은 [도표 4-9]와 같다.', '이러한 전천후 미사일 조기탐지 능력 확보 복합 다층 방어개념 발전지상·해상·우주 기반 미사일 조기탐지 능력 강화29)다층방어는 요격고도가다른 복수의 방어체계로 적 미사일과 최소 2차례 이상 교전이 가능한 방어체계, 복합다층방어는 탄도미사일 다층방어체계와 장사정포대응체계를 결합한 방어체계를 의미 한국형 미사일 방어(KAMD)KAMD날아오는 다양한 미사일을 탐지·요격하는 복합 다층 방어체계060    2022 국방백서노력과 함께 탄도탄방어 지휘통제 능력의 강화를 위한 탄도탄작전통제소30) 성능개량도 추진하여 탐지체계와 방어체계를 유기적으로 운용해 나갈 것이다.', '지상전력 분야는 북한 핵·미사일 및 장사정포 위협에 대비하여 고위력·초정밀 지대지미사일 및 대화력전 수행 전력을 조기에 확충하고, 고속종심기동전 수행을 위한 기갑 및 기계화, 육군항공전력을 보강할 것이다.', '북한군은 기습공격, 배합전, 속전속결을 중심으로 하는 군사전략과 핵무력 전략에 기초하여 다양한 전략·전술을 모색하고 있으며, 핵·WMD(Weapons of Mass Destruction), 미사일, 장사정포, 잠수함, 특수전 부대, 사이버·전자전 부대 등 비대칭 전력증강과 함께 선별적인 재래식 무기 성능 개량을 추진하고 있다.', '대남 우위의 군사력 확보를 위해 재래식 무기 성능을 지속적으로 개량하면서 핵·WMD52), 미사일, 장사정포, 수중전력, 특수전 부대, 사이버 부대 등 비대칭 전력을 집중적으로 증강하고 특히 6,800여 명의 사이버전 인력을 양성하여 다양한 형태의 사이버전 도발을 감행하고 있다.', '공군100여 척전투함정\ue10b 병력은 해병대 2만 9천여 명 포함[도표 3-3] 해군 주요 조직과 보유 전력해군작전사령부해병대사령부/서북도서방위사령부군수사령부교육사령부함대사령부(3)잠수함사령부사단 2, 여단 2해군본부병력7만여 명잠수함정10여 척항공기60여 대상륙함정10여 척기뢰전함정10여 척지원함정20여 척4)수상전투함, 잠수함, 항공기를 이용하여 해양 통제권을 확보·유지하거나 적의 수상세력을 파괴 또는 무력화시키는 작전5)적 잠수함을 파괴 또는 무력화시켜 자유로운 해양 사용을 보장하는 작전6)기뢰를 사용하여 적 해군 세력을 차단 또는 무력화하거나 적의 기뢰 사용을 거부하는 작전[도표 3-4] 공군 주요 조직과 보유 전력공군작전사령부군수사령부교육사령부공중전투사령부공중기동정찰사령부방공유도탄사령부방공관제사령부공군본부병력6만 5,000여 명410여 대전투임무기감시통제기50여 대공중기동기50여 대훈련기190여 대헬기40여 대공군 홍보영상제3장  전방위 안보위협 대비 튼튼한 국방태세 확립을 통한 평화수호     53제3장공군작전사령부는 전반적인 항공작전을 지휘하고, 제공작전7), 항공차단작전8), 근접항공지원 작전9)을 비롯하여 핵·미사일·장사정포 위협에 효과적으로 대응하기 위한 작전을 수행한다.', '지상전력은 북 핵\u2006・\u2006WMD 위협에 대응하기 위한 고위력\u2006・\u2006초정밀 지대지미사일 전력과 수도권 위협 장사정포 위협에 대응하기 위한 대화력전 수행전력을 확보할 것이다.', '특히 남한에 대한 군사적 우위를 확보하기 위해 핵, 미사일 등 대량살상무기와 장사정포, 수중전력, 특수전 부대, 사이버 부대 등 비대칭 전력을 집중적으로 증강하고 있다.', '북한은 기습전, 배합전, 속전속결전을 중심으로 하는 군사전략을 유지한 가운데 다양한 전략·전술을 모색하며 선별적인 재래식 무기 성능 개량과 함께 핵·WMD33), 미사일, 장사정포, 잠수함, 특수전 부대, 사이버 부대 등 비대칭 전력증강에 집중하고 있다.', '또한, 미사일과 장사정포 혼합공격에 대비한 수도권 복합방어 작전체계를 발전시키고, 독자 개발한 지상기반 상·하층 방어체계 레이더를 효율적으로 통합(네트워크화)운용하여 작전 효율성을 제고해 나갈 것이다.', '특히, 북한의 미사일·방사포의 혼합사격에 대한 동시대응능력 확보를 위해 한국형 아이언돔인 장사정포 요격체계를 조기 전력화하여 복합 다층방어체계를 구축해 나갈 예정이다.', '이밖에도 적의 장사정포를 무력화하는 대화력전훈련과 적 특수전부대의 해상침투에 대비한 해상침투 저지훈련을 실시하고 있다.', '4\u3000\x07Disaster Relief ExerciseFA-50 공대지 무장 실사격 훈련72  제3장 확고한 국방태세 확립이밖에도 적의 장사정포를 무력화하는 대화력전 훈련과 적 특수전부대의 해상 침투에 대비하는 해상침투저지훈련을 실시하고 있다.', '핵\u2006・\u2006WMD와 장사정포 위협을 억제\u2006・\u2006대응할 수 있는 전력을 우선적으로 구축하고, 잠재적 위협에 대비하는 전략적 억제능력을 구비할 것이다.', '방호전력 분야는 탄도탄 및 항공기 방어 능력과 장사정포탄 요격능력 등 다층방어능력을 구비하고, 전자기펄스(EMP)13) 및 화생방 방호 능력을 점진적으로 향상시키며, 전쟁 초기 생존성 보장을 위한 개인·시설·장비의 방호 능력을 보강할 것이다.', '북한의 위협에 대비하기 위해서 국지도발 위협에 대비한 전력, 대대급 이하 전투력 강화를 위한 전력, 북한의 핵·미사일·장사정포·사이버·생화학 위협 등과 같은 비대칭 위협 대비 전력을 우선 확보할 예정이다.', '첫째, 북한의 국지도발 및 장사정포 위협에 대비하여 대포병탐지레이더3, 차기 열상감시장비, 전술정보통신체계 사업 등을 반영하여 감시 및 탐지 능력을 보강하고 C4I 체계를 발전시키고자 하였다.']"
B-36 피스메이커,[]
타우러스 미사일,[]
